Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
139,NQ27,?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,4,Unnamed woman,Hudhayl,,,,,,,,,,,
756,NQ121,?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,4,"?? ?????/????? ??? ?????? ?? ??? ???????? (?? ???? ?? ????? ?? ????? ?? ??? ???? ?? ???? ?? ???? ?? ?????NQ 31, 37)",Qays Aylan,Amir b. Sa'sa'a,Hilal,,,,,1,,,,
221,NQ38,?????? ?? ???? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,????? ??? ????? ?? ??? ?? ??? ??? ?? ???? ?? ???? ?? ??? ?? ?????? ?? ???,Quraysh,Harith b. Fihr,,,,2,3,,,,,
216,NQ38,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,Unnamed woman,Qays Aylan,Amir b. Sa'sa'a,Hilal,,,,3,,,,,
260,NQ45,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ?????/????? ?????? ??? ???,Quraysh,Qusayy,Hashim,Alid,,6,,1,,,,
220,NQ38,??? ?????? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ???? ??? ????? ?? ???? ?? ???????,Hadrami,,,,,,1,,,,,
150,NQ28,??? ???? ?? ???? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,???? ??? ???? ?? ???? ??? ?? ????? ?? ?????? ?? ?????? ?? ??? ????? ?? ?????? ??????? ?? ???? ?? ?????? ?? ?????? ?? ?????? ?? ??? ?? ???? ?? ?????? ?? ??? ? ?? ????,Kinda,,,,,,6,1,,,,
157,NQ29,???? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,????? ??? ??? ????/??? ????? ?? ??? ?????? ?? ?????? ?? ??? ?????? ?? ???,Yemen,Madhhij,Harith b. Ka'b,,,,,1,,,,
1404,NQ264,???? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ???? ??? ???? ?? ???? (?? ???? ?? ????),Kinana,Harith b. Abd Mana'a,,,,,2,,,,,
185,NQ31,???? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ???? ??? ???? ?? ???? ?? ??? ?????? ?? ??? ???? ?? ?????,Kinana,Abd Mana'a,Harith  ,,,,2,,,,,
187,NQ31,???? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,???? ??? ???? ?? ???? ?? ????,Look up - possibly Himyar,,,,,,,2,,,,
183,NQ31,???? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,?????? ??? ??? ?? ?????? ?? ??? ?? ???? ?? ????? ?? ????? ?? ??? ???? ?? ???? ?? ???? ?? ?????,Qays Aylan,Amir b. Sa'sa'a,,,,,2,1,,,,
184,NQ31,???? ???? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,????? ??? ??? ???? ?? ??? ?????? ?? ??????,Yemen,Madhhij,Harith b. Ka'b,,,,1,1,,,,
145,NQ28,??? ?? ????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ???? ??? ????? ?? ??? ???????,Yemen,Madhhij,Zubaidi,,,,,1,,,,
218,NQ38,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ????? ??? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,,6,1,,,,,
254,NQ45,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,???? ?????? ??? ??? ,Quraysh,Qusayy,Hashim,Alid,,6,,1,,,,
205,NQ37,???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,5,?? ???? ??? ?????? ?? ?????? ?? ??? ?? ???? ?? ????? ?? ????? ?? ??? ???? ?? ???? ?? ???? ?? ?????,Qays Aylan,Amir b. Sa'sa'a,Hilal,,,,1,1,,,,
