Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
877,NQ137,??? ?? ??? ????? (?? ????),Quraysh,Qusayy,Asad,,2,???? ??? ??????? ?? ?????? ?? ???? ?? ?????? ?? ???? ?? ???? ?? ??? ?? ????,Thaqif,,,,,,1,,,,,
1994,NQ379,??? ?? ??? ????? ?? ???,Quraysh,Qusayy,Asad,,2,??? ??? ??? ?? ???? ?? ???? ?? ??? ?? ???,Quraysh,Adi b. Ka'b,,,,2,,1,,,,
1225,NQ207,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,???? ??? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???? ?? ???,Asad b. Khuzayma,Kahil b. Asad,,,,,1,,,,,
1221,NQ207,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,?????? ??? ???? ?? ??? ?? ??? ?????,Aws,Amr b. Awf ,Jahjaba,,,,3,,,,,
1219,NQ206,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,??? ??? ?? ???? ?? ???? ?? ??? ?? ???,Quraysh,Adi b. Ka'b,,,,3,2,1,,,,
1220,NQ207,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,?????/??? ??????? ??? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,,,3,3,1,,,,
1223,NQ207,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,???? ??? ???? ?? ??? ?? ???? ?? ????,Quraysh,Sahm,,,,2,3,,,,,
1222,NQ207,??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,2,Woman of Thaqif,Thaqif,,,,,,1,,,,,
1235,NQ212,?????? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,3,??? ??? ????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Abd al-Dar,,,3,5,,,,,
1232,NQ209,??????? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,3,????? ??? ???? ?? ???? ?? ????? ?? ???,Quraysh,Jumah,,,,4,1,,,,,
1253,NQ218,?????? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,3,????? ??? ??? ??? ???? ?????? ?? ??? ???? ?? ???? ?? ????,Quraysh,Zuhra,,,,3,1,,,,,
1234,NQ211,???? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,3,?????? ??? ???? ?? ????,Aws,Amr b. Awf ,Jahjaba,,,,1,,,,,
