Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
147,NQ28,????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Hasanid,6,?? ????? ??? ????? ?? ???? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,6,3,1,,,,
268,NQ46,????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,6,???? ??? ????? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ????? ?? ????? ?? ???? ?? ??? ?? ????? ?? ??? ?? ??? ?? ????? ?? ??? ?? ???? ?? ??? ?? ?????,Ghatafan,Fazara,,,,5,1,,,,,
270,NQ49,????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,6,?? ??? ??? ??? ?????/???? ?? ???? ?? ????? ?? ????? ?? ????? ?? ???? ????????,Khazraj,,,,,,1,1,,,,
274,NQ50,????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,6,?? ????? ??? ???? ?? ???? ????,Quraysh,Taym b. Murra,,,,6,1,,,,,
354,NQ59,????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,????? ??? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Husaynid,7,,,,,,
290,NQ51,?????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,?? ???? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,Alid,,7,,1,,,,
195,NQ32,??? ?? ??? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,????? ??? ???? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,6,,1,,,,
278,NQ50,??? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,?? ??? ???? ??? ?????,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,3,,,,,
280,NQ50,???? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,???? ??? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,6,1,,,,,
293,NQ51,????? ?? ????? ?? ???,Quraysh,Qusayy,Hashim,Alid,Hasanid,7,???? ??? ???? ?? ??? ?? ???? ?? ???? (?? ??? ????? ?? ???? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ???),Quraysh,Adi b. Ka'b,,,,8,1,,,,,
