Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
1089,NQ173,????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,6,????? ??? ?????? ?? ??????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,,,7,1,,,,,
660,NQ112,????? ?? ????? ?? ??? ??????,Quraysh,Qusayy,Umayyad,Marwanid,6,?? ???? ?????? ??? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,7,,,,,,
993,NQ161,????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,Marwanid,6,???? ??? ??? ?? ???? ????? ?????? ?? ???? ?? ???? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Malik of Ja'far of Kilab,,,,1,,,,,
990,NQ160,????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,Marwanid,6,???? ??? ???? ?? ?????? ?? ???? ?? ????? ?? ?????? ?? ??? ?? ???? ?? ??? ?? ???? ?? ???,Kalb,,,,,,1,1,,,,
1518,NQ285,????? ?? ????? ?? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,Marwanid,6,???? ??? ??? ?? ??? ???? ?? ??? ????? (?? ???? ?? ??? ???? ?? ??? ?? ?????),Quraysh,Makhzum,,,,7,1,1,,,,
1616,NQ307,???? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,???? ??? ??? ?????? ?? ?????? ?? ???? (?? ???????),Quraysh,Makhzum,,,,7,,,,,,
1059,NQ169,??? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ???? ??? ???? ?? ????? ?? ???? ?? ??? ????,Quraysh,Qusayy,Umayyad,,,9,1,,,,,
1057,NQ169,??? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,??? ??? ????? ?? ????? ?? ??? ?? ????? (?? ???),Ghatafan,Fazara  ,,,,,1,,,,,
1056,NQ169,??? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ????? ??? ??? ???? ?? ??? ?????? ?? ???,Quraysh,Zuhra,,,,7,1,,,,,
1052,NQ168,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,???? ??? ???? ?? ????? ?? ?????? ?? ???? ?? ???? ?? ????,Qays Aylan,Amir b. Sa'sa'a,Malik of Ja'far of Kilab,,,,,1,,,,
1054,NQ169,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,????? ??? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,,8,,2,,,,
687,NQ115,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,???? ??? ??? ???? ?? ???? ?? ????? ?? ????,Quraysh,Qusayy,Umayyad,Uthmanid,,9,,,,,,
1047,NQ168,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ???? ??? ???? ?? ??? ?? ??????,Quraysh,Adi b. Ka'b,,,,7,4,,,,,
1048,NQ168,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ??? ???? ??? ??? ???? ?? ???? ?? ?????? ( ?? ???? ?? ???? ?? ???? ?? ???),Quraysh,Sahm,,,,7,2,1,,,,
1904,NQ361,??? ?????? ?? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,???? ??? ???? ?? ??? ?? ?????? ?? ???? ?? ??? ????? ?? ???? ?? ??? ???? ?? ??? ?? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ???,Quraysh,Adi b. Ka'b,,,,8,,,,,,
839,NQ132,??? ???? ?? ??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,???? ??? ??? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,,8,,,,,,
1269,NQ227,??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,??? ??? ??? ????? ?? ??? ???? ?? ???? ?? ?????? ?? ?????? ?? ??? ?? ??? ????? ?? ????,Quraysh,Qusayy,Asad,,,8,,,,,,
533,NQ83,??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ????? ??? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,7,,,,,,
835,NQ132,??? ????? ?? ?????,Quraysh,Qusayy,Umayyad,Marwanid,7,?? ????? ??? ??? ???? ?? ???? ?? ??????,Quraysh,Qusayy,Umayyad,Sufyanid,,9,,,,,,
