Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
238,NQ43,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,?? ?????? ??? ???? ?? ???? ?? ????? ?? ????? ?? ??? ?? ???? ?? ???? ?? ????? (?? ???? ?? ?????),Qays Aylan,Amir b. Sa'sa'a,,,,,4,,,,,
242,NQ44,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,????? ??? ???? (?? ???? ?? ??? ?? ???? ?? ????? ?? ???? ?? ????? ?? ???? ?? ?????? ?? ??? ?? ??? ?? ??? ???? ?? ????? ?? ???? ?? ??? ?? ???? NQ80),Anmar,Khatham,,,,,2,,,,,
1662,NQ312,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,?????? ??? ??? ??? ?? ???? ?? ???????  (?? ??????? ?? ??? ?? ?????),Quraysh,Makhzum,,,,6,,,,,,
972,NQ158,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,????? ??? ??? ?????? ?? ?????? ?? ??? ????? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,,6,,,,,,
208,NQ37,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,???? ??? ???? ?? ??????,Quraysh,Qusayy,Hashim,Abbasid,,5,,,,,,
529,NQ83,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,????? ??? ?????,Quraysh,Qusayy,Hashim,,,6,,1,,,,
235,NQ41,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,???? ??? ???? ?? ??? ?? ????? (?? ???? ?? ????? ?? ????? ?? ????? ?? ????? ?? ????? ?????? Bal 2.200),Hanifa,,,,,,1,,,,,
237,NQ42,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,???????/?? ???? ??? ????? ,Taghlib,,,,,,1,1,,,,
536,NQ83,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,???? ??? ????? ?? ???? ?? ???? ?? ???? ?? ???? ?? ???? ?? ????,Tamim ,,,,,,2,,,,,
246,NQ44,??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,5,?? ???? ??? ???? ?? ????? ?? ????,Thaqif,,,,,,,2,,,,
474,NQ76,???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,6,????? ??? ???? ?? ????? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ??? ???? ?? ?????,Qays Aylan,Mazin b. Mansur,,,,,1,,,,,
193,NQ32,?????? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,6,????? ??? ???? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,6,1,,,,,
514,NQ80,??? ?? ???,Quraysh,Qusayy,Hashim,Alid,6,????? ??? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,6,2,1,,,,
291,NQ51,???? ?? ???,Quraysh,Qusayy,Hashim,Alid,6,?? ??? ???? ??? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,,6,,1,,,,
473,NQ76,???? ?? ??? ?? ??? ????,Quraysh,Qusayy,Hashim,Alid,6,??????? ?? ??? ?????? ??? ??? ?????? ?? ???? (?? ?????? ?? ??? ?????? NQ86),Quraysh,Qusayy,Hashim,,,7,2,4,,,,
