Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
48,NQ15,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,???? ??? ???? ?? ??? ?? ???? ?? ???? ?? ???? ?? ??? ?? ???? ?? ?????? ??? ???? ?? ????? ?? ???? ?? ??????,Khazraj,Najjar,,,,,1,1,,,,
51,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????? ??? ??? ?? ???? ?? ??? ?????? ?? ??? ???? ?? ??? ?? ??? ?? ??? ?? ???? ?? ????? ?? ?????,Quda'a,,,,,,1,,,,,
55,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,??? ??? ???? ?? ????? (?? ???? NQ92) ?? ??????,Khazraj,,,,,,2,,,,,
54,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????/?????? ??? ???? ?? ???? ?? ???????/????? ?? ??? ?? ???? ?? ????? ?? ????? (?? ???? ?? ???? ?? ????? ?? ????? ????? ?? ????? ?? ???? ?? ????? JMY 439),Khuza'a,,,,,,1,,,,,
58,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,????? ??? ??? ????/???? ?? ??? ???/?????? ?? ???? ?? ????? ?? ??? ?? ????? ?? ???? ?? ?????,Qays Aylan,Hawazin,,,,,,2,,,,
59,NQ16,???? ?? ??? ????,Quraysh,Qusayy,Hashim,2,?? ???? ??? ???? ?? ?????? ?? ???? ?? ???? ?? ??? ?? ???? ?? ???? ?? ??? ?? ?????,Thaqif,,,,,,,1,,,,
571,NQ90,??? ???? ?? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,3,Unnamed ?? ??? ???? ?? ?????,Kinana,Malik b. Kinana,,,,,2,,,,,
569,NQ90,??? ???? ?? ???? ?? ??? ???? ?? ???,Quraysh,Qusayy,Hashim,3,???? ??? ???? ?? ??? ???? ?? ??? ????? ?? ???,Quraysh,Qusayy,Abd al-Dar,,,4,1,1,,,,
581,NQ91,??? ?? ????,Quraysh,Qusayy,Hashim,3,????? ??? ??? ?? ????? ?? ???? ?? ??? ?? ???? ?? ???? ?? ???,Quraysh,Amir b. Lu'ayy,,,,3,,1,,,,
81,NQ18,??? ??????? ?? ????,Quraysh,Qusayy,Hashim,3,Unnamed woman,Khuza'a,,,,,,1,,,,,
