Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
786,NQ125,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,??? ??? ???? ?? ????? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,5,1,2,,,,
836,NQ132,??? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,7,??? ?????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,8,,1,,,,
918,NQ150,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,8,,,,,,
806,NQ128,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ???? ?? ???? ?? ?????,Quraysh,Qusayy,Abd Shams,,5,2,,,,,
807,NQ129,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ????? ??? ??? ???? ?? ???? ?? ???? ?? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Abd Shams,,7,1,1,,,,
859,NQ134,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ?????? ?? ??????,Quraysh,Qusayy,Asad,Zubayrid,6,1,2,,,,
851,NQ133,?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,????? ??? ???? ???? ?? ?????? ?? ??? ??????,Quraysh,Qusayy,Hashim,Abbasid,,,,,,,
535,NQ83,???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,?? ???? ??? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Hashim,,7,,,,,,
818,NQ131,??? ???? ?? ???? ?? ???? ?? ?????? ?? ??? ????? ?? ???,Quraysh,Qusayy,Umayyad,Sufyanid,9,????? ??? ???? ???? ?? ?????? ?? ???,Quraysh,Qusayy,Hashim,Alid,,,,,,,
801,NQ128,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,????? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,5,1,1,,,,
1205,NQ204,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ???? ?? ???? ?? ??? ????,Quraysh,Qusayy,Nawfal,,5,,,,,,
632,NQ100,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,4,???? ??? ??? ?????? ?? ???? ?????? ?? ??? ???,Quraysh,Qusayy,Umayyad,,5,1,1,,,,
791,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,???? ??? ??? ???? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,,5,1,2,,,,
794,NQ126,??? ????? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,Sufyanid,5,????? ??? ??? ?????? ?? ????,Quraysh,Qusayy,Umayyad,,5,,1,,,,
865,NQ134,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ?? ????,Quraysh,Qusayy,Umayyad,,6,1,,,,,
814,NQ130,????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,?? ????? ??? ???? ?? ?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,8,,1,,,,
789,NQ126,?????? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,6,???? ??? ???? ?? ??? ????? ?? ???? ?? ??? ???,Quraysh,Qusayy,Umayyad,Sufyanid,6,,,,,,
854,NQ133,?????? ?? ???? ?? ??? ?????,Quraysh,Qusayy,Umayyad,Sufyanid,7,???? ??? ???? ?? ??????,Quraysh,Qusayy,Umayyad,,8,,,,,,
