"Numbering","Source","HusbandName","HusbandTribe ","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3",,"HusbandGeneration ","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","WifeGeneration","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
242,"NQ44","على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"اسماء بنت عميس (بن معبد بن تيم بن مالك بن قحافة بن عامر بن ربيعة بن عامر بن معاوية بن زيد بن نسر بن وهب الله بن شهران بن عفرس بن حلف بن أفتل NQ80)","Anmar","Khatham",,,,,2,,,,,
501,"NQ78","عبد الله بن جعفر الاصغر بن محمد بن على","Quraysh","Qusayy","Hashim","Abbasid",,8,"صفية بنت الغضبان بن يزيد من بنو انمار","Anmar",,,,,,2,2,,,,
521,"NQ80","جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"اسماء بنت عميس بن معبد بن تيم بن مالك بن قحافة بن عامر بن ربيعة بن عامر بن معاوية بن زيد بن نسر بن وهب الله بن شهران بن عفرس بن حلف بن أفتل و هم جماع خثعم بن انمار","Anmar","Khatham",,,,,3,,,,,
452,"NQ73","الحسين بن على بن حسين بن على","Quraysh","Qusayy","Hashim","Abbasid","Husaynid",8,"عبدة بنت داود بن ابو امامة بن سهل بن حنيف الانصارى (بن واهب الاسدى al-ansab al-mutafaqa)","Asad",,,,,,2,,,,,
92,"NQ19","محمد النبى","Quraysh","Qusayy","Hashim","Abbasid",,5,"زينب بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,,,,,,
489,"NQ77","عون بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Abbasid",,8,"مهدية بنت عبد الرحمن بن عمر بن محمد بن مسلمة الانصارى","Aws","Haritha b. al-Harith",,,,,1,2,,,,
497,"NQ78","ابراهيم بن محمد بن على  ","Quraysh","Qusayy","Hashim","Abbasid",,7,"امامة بنت عبد الله بن سعيد بن خيثمة من الانصار","Aws","Ghanam b. al-Salam",,,,,1,1,,,,
503,"NQ78","عون بن محمد بن عاى","Quraysh","Qusayy","Hashim","Abbasid",,7,"ام سعيد بنت سعيد بن زيد بن مالك من بنو عبد الاشهل","Aws","Abd al-Ashhal",,,,,1,1,,,,
340,"NQ56","جعفر بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",8,"عائشة بنت عوف بن الحارث بن الطفيل بن عبد الله بن سخبرة من الازد","Azd",,,,,,1,1,,,,
341,"NQ56","سليمان بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,7,"عائشة بنت عوف بن الحارث بن الطفيل بن عبد الله بن سخبرة","Azd",,,,,,2,,,,,
551,"NQ86","نوفل بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"ضريبة بنت سعيد بن القسب/جندب بن عبد الله بن رافع بن نضلة بن محضب بن صعب من الازد","Azd","Azd",,,,,6,,,,,
531,"NQ83","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"بنت خصفة بن ثقيف بن بكر بن وائل","Bakr b. Wa'il",,,,,,4,,,,,
345,"NQ59","الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid","Husaynid",6,"Unnamed woman","Bali",,,,,,1,,,,,
479,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Abbasid",,7,"ام عثمان بنت ابو حدير بن عبدة بن معتب بن الجد بن عجلان من الانصار من البلى من قضاعة حلفاء بنو عمرو بن عوف","Bali",,,,,,1,,,,,
332,"NQ55","ادريس بن عبد الله بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",9,"Unnamed woman - Barbariya","Berber",,,,,,1,,,,,
114,"NQ21","محمد النبى","Quraysh","Qusayy","Hashim","Abbasid",,5,"مارية بنت شمعون بن ابراهيم القبطية","Egyptian",,,,,,1,,,,,
268,"NQ46","الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",6,"خولة بنت منظور بن زبان بن سيار بن عمرو بن جابر بن عقيل بن هلال بن سمى بن مازن بن فزارة بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس بن عيلان بن مضر بن نزار بن معد بن عدنان","Ghatafan","Fazara",,,,5,1,,,,,
331,"NQ55","سليمان بن بن عبد الله بن الحسن بن الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",9,"Unnamed woman - Fazariya","Ghatafan","Fazara",,,,,1,,,,,
530,"NQ83","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"بنت المسيب بن نجبة الفزارى","Ghatafan","Fazara",,,,,2,,,,,
538,"NQ83","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"النابغة بنت خداش من بنو عبس بن بغيض","Ghatafan","Abs b. Baghid",,,,,1,,,,,
220,"NQ38","عبد الرحمن بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام ايوب بنت ميمون بن عامر بن الحضرمى","Hadrami",,,,,,1,,,,,
559,"NQ87","عبد المطلب بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,"Unnamed - امه من همدان","Hamdan",,,,,,1,,,,,
235,"NQ41","على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,5,"خولة بنت جعفر بن قيس بن مسلمة (بن عبيد بن ثعلبة بن يربوج بن ثعلبة بن الدؤل بن حنيفة بالجيم Bal 2.200)","Hanifa",,,,,,1,,,,,
139,"NQ27","العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,4,"Unnamed woman","Hudhayl",,,,,,,,,,,
346,"NQ59","الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid","Husaynid",6,"الرباب بنت امرى القيس بن عدى بن اوس بن جابر بن كعب بن عليم بن جناب","Kalbi",,,,,,1,1,,,,
537,"NQ83","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim","Abbasid",,6,"آمنة بنت عبد الله بن كعب بن عبد الله من خثعم","Khatham",,,,,,1,2,,,,
48,"NQ15","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim","Abbasid",,2,"سلمى بنت عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar",,,,,1,1,,,,
55,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim","Abbasid",,2,"هند بنت عمرو بن ثعلبة (بن سلول NQ92) بن الخزرج","Khazraj",,,,,,2,,,,,
223,"NQ39","عبد الله بن الحارث بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,6,"جمال بنت النعمان (ابو حزم بْن عتيك بْن النعمان بْن عَمْرو بْن عتيك بْن عَمْرو بْن مبذول وهو عامر بن مالك بن النجار Bal 4.68)","Khazraj","Najjar",,,,,3,1,,,,
270,"NQ49","الحسن بن على","Quraysh","Qusayy","Hashim","Abbasid","Hasanid",6,"ام بشر بنت ابو مسعود/عقبة بن عمرو بن ثعلبة بن اسيرة بن عميرة بن عطية الانصارى","Khazraj",,,,,,1,1,,,,
563,"NQ88","العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,"ام فراس بنت حسان بن ثابت بن المنذر","Khazraj",,,,,,1,1,,,,
54,"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim","Abbasid",,2,"قيلة/الجزور بنت عامر بن مالك بن المصطلق/جذيمة بن سعد بن عمرو بن ربيعة بن حارثة (بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد JMY 439)","Khuza'a",,,,,,1,,,,,
78,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"لبنى بنت هاجر بن عبد مناف بن ضاطر بن حبشية بن سلول من خزاعة","Khuza'a",,,,,,1,,,,,
81,"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim","Abbasid",,3,"Unnamed woman","Khuza'a",,,,,,1,,,,,
185,"NQ31","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام حكيم بنت قارظ بن خالد من بنو الحارث بن عبد مناة بن كنانة","Kinana","Abd Mana'a","Harith  ",,,,2,,,,,
477,"NQ76","ابو هاشم عبد الله بن محمد بن على","Quraysh","Qusayy","Hashim","Abbasid",,7,"خلدة بنت علقمة بن الحويرث بن عبد الله بن خلف بن آبى اللحم من بنو غفار","Kinana","Ghifar",,,,,2,,,,,
571,"NQ90","ابو صيفى بن هاشم بن عبد مناف بن قصى","Quraysh","Qusayy","Hashim","Abbasid",,3,"Unnamed من بنو مالك بن كنانة","Kinana","Malik b. Kinana",,,,,2,,,,,
1404,"NQ264","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام حكيم بنت قارط بن خالد (بن عبيد بن سويد)","Kinana","Harith b. Abd Mana'a",,,,,2,,,,,
150,"NQ28","عبد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"زرعة بنت مشرح بن معدى كرب بن وليعة بن شرحبيل بن معاوية بن حجر القود بن الحارث الولادة بن عمرو بن معاوية بن الحارث بن معاوية بن ثور بن مرتع بن معاوية بن ثور و هو كندى","Kinda",,,,,,6,1,,,,
181,"NQ31","العباس/العنق بن عبد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,"جعدة بنت الاشعث بن قيس الكندى","Kinda",,,,,,1,1,,,,
187,"NQ31","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"عمرة بنت عريف بن كلال بن حمير","Look up - possibly Himyar",,,,,,,2,,,,
