"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ88","المنذر بن الجارود العبدى","Abd al-Qays","Jadhima","Haritha",,,,"ام محمد بنت العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,7,,,,,,
"NQ19","جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma ",,,,,-1,"اميمة بنت عبد المطلب","Quraysh","Qusayy","Hashim",,,4,3,3,,,,
"NQ37","يريم بن ابو شعثاء/معدى كرب بن ابرهة بن الصباح","Himyar",,,,,,"آبية بنت معبد بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,5,1,,,,,
"NQ37","النضر بن يريم بن ابو شعثاء/معدى كرب بن ابرهة بن الصباح","Himyar",,,,,,"لبابة بنت عبد الله بن معبد بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,7,,,,,,
"NQ88","حبان بن منقذ بن عمرو بن مالك بن حنساء بن مبذول بن عمرو بن غنم بن مازن بن النجار","Khazraj","Najjar","Mazin",,,,"اروى بنت ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,6,2,,,,,
"NQ17","عبد مناف بن زهرة بن كلاب","Quraysh","Zuhra",,,,1,"ضعيفة بنت هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,3,2,,,,,
"NQ207","اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,2,"خالدة/قبة الديباج بنت هاشم بن عبد مناف بن قصى","Quraysh","Qusayy","Hashim",,,3,3,1,,,,
"NQ16","هاشم بن المطلب بن عبد مناف ","Quraysh","Qusayy",,,,3,"الشفاء بنت هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,3,1,,,,,
"NQ19","عمير بن وهب بن عبد بن قصى","Quraysh","Qusayy",,,,3,"اروى بنت عبد المطلب بن هاشم","Quraysh","Qusayy","Hashim",,,4,1,,,,,
"NQ91","يغوث بن وهب بن عبد مناف بن زهرة","Quraysh","Zuhra",,,,3,"ام جميل بنت الارقم بن نضلة بن هاشم","Quraysh","Qusayy","Hashim",,,5,,1,,,,
