"Numbering","Source","HusbandName","HusbandTribe ","HusbandSubtribe1","HusbandSubtribe2","HusbandGeneration","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4",,"WifeGeneration","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
630,"NQ100","امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",3,"امامة بنت حميرى بن الحارث بن جابر بن الاسود بن عمرو بن عدى بن نصر بن مالك بن سعود بن مالك بن عمم بن عمر بن نمارة بن لخم","Lakhmid",,,,,,1,,,,,
622,"NQ99","امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",3,"آمنة بنت ابان بن كليب بن ربيعة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a",,,,,4,3,,,,
628,"NQ100","امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",3,"امة بنت ابو همهمة بن عبد العزى بن عامرة بن عميرة بن وديعة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,1,6,1,,,,
631,"NQ100","ابو العاصى بن امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",4,"آمنة بنت عبد العزى بن حرثان بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,4,4,2,,,,
634,"NQ100","ابو العاصى بن امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",4,"رقية بنت الحارث بن كعب بن عبيد بن عمر بن مخزوم","Quraysh","Makhzum",,,,5,2,1,,,,
637,"NQ101","ابو العاصى بن امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",4,"صفية بنت ربيعة بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,4,,1,,,,
638,"NQ101","ابو العاصى بن امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",4,"اروى بنت اسيد بن علاج بن ابو سلمة","Thaqif",,,,,,1,1,,,,
1656,"NQ312","ابو العيص بن امية","Quraysh","Qusayy","Umayyad",4,"رقية بنت اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,3,,1,,,,
1133,"NQ187","ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",4,"اروى بنت اسيد بن عمرو بن علاج بن ابو سلمة من ثقيف","Thaqif",,,,,,,,,,,
870,"NQ135","ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",4,"آمنة بنت ابان بن كليب بن ربيعة بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,,,,,
876,"NQ137","ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",4,"ريطة بنت الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم بن ثقيف","Thaqif",,,,,,3,3,,,,
1090,"NQ174","العاصى بن امية","Quraysh","Qusayy","Umayyad",4,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,,1,2,,,,
760,"NQ121","حرب بن امية","Quraysh","Qusayy","Umayyad",4,"صفية بنت حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,2,,,,
766,"NQ123","حرب بن امية","Quraysh","Qusayy","Umayyad",4,"ام قتال بنت عبد(بن) الحارث بن زهرة","Quraysh","Zuhra",,,,3,,1,,,,
765,"NQ123","حرب بن امية","Quraysh","Qusayy","Umayyad",4,"Unnamed","Tamim",,,,,,1,1,,,,
770,"NQ123","حرب بن امية","Quraysh","Qusayy","Umayyad",4,"فاختة بنت عامر بن معتب الثقفى","Thaqif",,,,,,2,1,,,,
1165,"NQ200","سفيان بن امية (بن عبد شمس NQ429)","Quraysh","Qusayy","Umayyad",4,"الرباب بنت الحارث بن حباب","Unknown",,,,,,1,,,,,
869,"NQ135","عمرو بن امية","Quraysh","Qusayy","Umayyad",4,"ام قتال بنت عبد(بن) الحارث بن زهرة","Quraysh","Zuhra",,,,3,1,,,,,
884,"NQ138","ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",5,"سالمة بنت امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,,2,2,,,,
881,"NQ137","ابو وحرة بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",5,"ريطة بنت نضلة بن قانف بن الحويرث بن الحارث بن حبيب الثقفى","Thaqif",,,,,,2,2,,,,
1134,"NQ187","اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",5,"زينب بنت ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,5,2,,,,,
