"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ135","ربيعة بن اكثم الاسدي","Asad b. Khuzayma",,,,,,"صفيا بنت الحارث بن حرب بن امية","Quraysh","Qusayy","Umayyad",,,6,1,,,,,
"NQ122","عبيد الله بن جحش بن (رئاب الاسدى)","Asad b. Khuzayma ",,,,,,"ام حبيبة بنت ابو سفيان بن حرب","Quraysh","Qusayy","Umayyad",,,6,,,,,,
"NQ137","عمرو بن الحضرمى","Confederate of Quraysh",,,,,,"عقيلة بنت كميم بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,6,,,,,,
"NQ137","الازرق","Greek?",,,,,,"ارنب بنت ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,5,,,,,,
"NQ263","ابو وقاص بن اهيب بن عبد مناف","Quraysh","Zuhra",,,,3,"حمنة بنت سفيان بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,5,2,,,,,
"NQ99","قيس بن قيس بن عدى (بن سعد بن سهم)","Quraysh","Sahm",,,,4,"اروى بنت امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",,,4,,,,,,
"NQ99","عمرو بن فقيم بن ابو همهمة بن نعيم بن ابو همهمة بن عبد العزى بن عامرة بن عميرة بن وديعة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,4,"بونة بنت امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",,,4,,,,,,
"NQ99","عمرو بن عثمان بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,"صفية بنت امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",,,4,,2,,,,
"NQ123","الاسود بن المطلب بن اسد","Quraysh","Qusayy","Asad",,,4,"الفارعة بنت حرب بن امية","Quraysh","Qusayy","Umayyad",,,5,,1,,,,
"NQ156","شيبة بن ربيعة بن عبد شمس","Quraysh","Qusayy",,,,4,"الفارعة بنت حرب بن امية","Quraysh","Qusayy","Umayyad",,,5,1,1,,,,
"NQ123","ابو لهب/عبد العزى بن عبد المطلب","Quraysh","Qusayy","Hashim",,,4,"ام جميل بنت حرب بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,5,,,,,,
"NQ423","عمرو بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,4,"ام حبيب بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,5,,2,,,,
"NQ101","طعيمة بن عدى بن نوفل (بن عبد مناف)","Quraysh","Qusayy",,,,4,"ام حبيب بنت ابو العاصى بن امية الاكبر بن عبد شمس ","Quraysh","Qusayy","Umayyad",,,5,,,,,,
"NQ422","شعبة بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,4,"ام حبيب بنت العاصى بن امية","Quraysh","Qusayy","Umayyad",,,5,1,,,,,
