"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ445","اهيب بن ضبة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,-3,"هند بنت هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,,,,,
"NQ445","مالك بن ضبة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,-3,"هند بنت عمار بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,,,,,
"NQ412","عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,1,"عاتكة بنت حيدة بن ذكوان بن غاضرة/غالب بن عامر","Qays Aylan","Amir b. Sa'sa'a",,,,,2,,,,,
"NQ400","سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,1,"ريطة بنت حيدة بن ذكوان بن غاضرة (بن عامر) بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,3,,,,,
"NQ412","سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,1,"عاتكة بنت حيدة بن ذكوان بن غاضرة/غالب بن عامر","Qays Aylan","Amir b. Sa'sa'a",,,,,3,,,,,
"NQ97","عبد شمس بن عبد مناف","Quraysh","Qusayy",,,,2,"نعجة بنت عبيد بن رواس بن كلاب بن ربيعة بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,2,1,,,,
"NQ18","عبد المطّلب بن هاشم","Quraysh","Qusayy","Hashim",,,3,"صفية بنت جندب بن حجير بن رئاب بن حبيب بن سواءة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a  ",,,,,2,,,,,
"NQ99","امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",,,3,"آمنة بنت ابان بن كليب بن ربيعة بن عامر بن صعصعة بن معاوية بن بكر بن هوازن","Qays Aylan","Amir b. Sa'sa'a",,,,,4,3,,,,
"NQ421","قيس بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,3,"بنت وبر بن الاضبط بن كلاب","Qays Aylan","Amir b. Sa'sa'a","Kilab",,,,1,,,,,
"NQ95","عباد بن المطلب","Quraysh","Qusayy",,,,3,"حجيرة بنت جندب من بنو سواءة بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a","Suwa'a",,,,1,,,,,
"NQ218","الاسود بن المطلب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,4,"فاختة بنت عامر بن قرط (بن سلمة بن قشير) القشيرى","Qays Aylan","Amir b. Sa'sa'a","Qushayr",,,,1,,,,,
"NQ346","الاسود بن المطلب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,4,"فاختة بنت عامر بن قرط بن سلمة بن قشير","Qays Aylan","Amir b. Sa'sa'a","Qushayr",,,,1,,,,,
"NQ27","العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,4,"ام الفضل/لبابة بنت الحارث بن حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر (بن صعصعةNQ 31, 37)","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,5,1,,,,
"NQ121","العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,4,"ام الفضل/لبابة بنت الحارث بن حزن الهلالية (بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعةNQ 31, 37)","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,,1,,,,
"NQ121","العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,4,"ام الفضل/لبابة بنت الحارث بن حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر (بن صعصعةNQ 31, 37)","Qays Aylan","Amir b. Sa'sa'a",,,,,,1,,,,
"NQ135","ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,4,"آمنة بنت ابان بن كليب بن ربيعة بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,,,,,
"NQ121","حرب بن امية","Quraysh","Qusayy","Umayyad",,,4,"صفية بنت حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعة","Qays Aylan","Amir b. Sa'sa'a",,,,,1,2,,,,
"NQ392","ابى بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,4,"عصماء بنت الحارث بن حزم بن بجير بن الهزم من بنو هلال","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,3,,,,,
