"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ207","اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,2,"زهرة بنت عمرو بن حبشى بن رويبة بن هلال من بنى كاهل بن اسد","Asad b. Khuzayma","Kahil b. Asad",,,,,1,,,,,
"NQ228","اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,2,"زهرة بنت عمرو بن حبتر (حبشى) بن رويبة بن هلال من بنى كاهل بن اسد (بن خزيمة)","Asad b. Khuzayma","Kahil",,,,,1,,,,,
"NQ367","تميم بن عبد الله بن قرط","Quraysh","Adi b. Ka'b",,,,2,"بنت عبد الله بن صالح بن غانم بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,-3,1,,,,,
"NQ98","عبد شمس بن عبد مناف","Quraysh","Qusayy",,,,2,"آمنة بنت وهب بن عمير بن اسامة بن نصر بن قعين بن الحارث بن ثعلبة بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,1,1,,,,
"NQ403","حذيفة بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,2,"بنت ذى الحناظل من بنو اسد بن خزيمة","Asad b. Khuzayma",,,,,,1,,,,,
"NQ338","الحارث بن عبيد بن عمر بن مخزوم","Quraysh","Makhzum",,,,3,"اسماء بنت قتيلة من بنو عمرو بن اسد بن خزيمة","Asad b. Khuzayma","Amr",,,,,1,,,,,
"NQ204","عامر بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,3,"هالة بنت فراضة بن ذى الحناظل/مالك بن عمرو بن نصر بن قعين (بن الحارث بن ثعلبة بن دودان بن اسد بن خزيمة)","Asad b. Khuzayma",,,,,0,2,1,,,,
"NQ156","الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,5,"الحلال بنت قيس بن نوفل من بنو اسد بن خزيمة","Asad b. Khuzayma",,,,,,,1,,,,
"NQ214","الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,5,"الحلال بنت قيس بن نوفل من بنو نصر بن قعین","Asad b. Khuzayma","Nasr",,,,,,1,,,,
"NQ385","الزبير بن العوام","Quraysh","Qusayy","Asad","Zubayrid",,5,"الحلال بنت قيس بن نوفل بن جابر من بنو اسد  بن خزيمة","Asad b. Khuzayma",,,,,,,1,,,,
"NQ236","الزبير بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad","Zubayrid",,5,"الحلال بنت قيس بن نوفل من بنو اسد بن خزيمة","Asad b. Khuzayma",,,,,,,1,,,,
"NQ19","محمد النبى","Quraysh","Qusayy","Hashim",,,5,"زينب بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,,,,,,
"NQ347","الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,5,"اسماء بنت وهب بن حبيب بن الحارث بن عبس بن قعين من بنو اسد بن خزيمة","Asad b. Khuzayma",,,,,,1,,,,,
"NQ214","مطيع بن الاسود بن حارثة (بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب) العدوى","Quraysh","Adi b. Ka'b",,,,5,"الحلال بنت قيس بن نوفل من بنو نصر بن قعین","Asad b. Khuzayma","Nasr",,,,,1,,,,,
"NQ385","مطيع بن الاسود بن حارثة بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,5,"الحلال بنت قيس بن نوفل بن جابر من بنو اسد  بن خزيمة","Asad b. Khuzayma",,,,,,1,,,,,
"NQ19","مصعب بن عمير بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy",,,,5,"حمنة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,,1,,,,
"NQ281","مصعب بن عمير بن هاشم بن عبد مناف بن عبد الدار بن قصى","Quraysh","Qusayy",,,,5,"حمنة بنت جحش بن رئاب (بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة)","Asad b. Khuzayma",,,,,0,,1,,,,
"NQ254","مصعب بن عمير بن هاشم بن عبد مناف بن عبد الدار بن قصىّ","Quraysh","Qusayy",,,,5,"حمنة بنت جحش (بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة)","Asad b. Khuzayma",,,,,,,1,,,,
"NQ19","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,5,"حمنة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,2,,,,,
"NQ254","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,5,"حمنة بنت جحش (بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة)","Asad b. Khuzayma",,,,,,2,,,,,
"NQ281","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,5,"حمنة بنت جحش بن رئاب (بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة)","Asad b. Khuzayma",,,,,0,2,,,,,
"NQ19","عبد الرحمن بن عوف","Quraysh","Zuhra",,,,5,"حبيبة بنت جحش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن اسد بن خزيمة","Asad b. Khuzayma",,,,,0,,,,,,
"NQ214","الاسود بن ابو البخترى بن هاشم بن الحارث بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,6,"الحلال بنت قيس بن نوفل من بنو نصر بن قعین","Asad b. Khuzayma","Nasr",,,,,1,,,,,
"NQ385","الاسود بن ابو البخترى بن هاشم بن الحارث بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,6,"الحلال بنت قيس بن نوفل بن جابر من بنو اسد  بن خزيمة","Asad b. Khuzayma",,,,,,1,,,,,
"NQ220","عبد الله بن السائب بن ابو حبيش بن المطلب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,6,"حمنة بنت شجاح بن وهب من اهل بدر من بنو اسد بن خزيمة","Asad b. Khuzayma","Badr",,,,,,1,,,,
"NQ221","عبد الله بن السائب بن ابو حبيش بن المطلب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,6,"حمنة بنت شجاع بن وهب","Asad b. Khuzayma","Badr",,,,,1,,,,,
