"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ207","اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,2,"الصعبة بنت خالد بن صقل من بنى جحجبا","Aws","Amr b. Awf ","Jahjaba",,,,3,,,,,
"NQ211","حبيب بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,3,"الصعبة بنت خالد بن طفيل","Aws","Amr b. Awf ","Jahjaba",,,,1,,,,,
"NQ241","حمزة بن عبد الله بن الزبير بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad","Zubayrid",,7,"ام الخطاب بنت شيبة بن عبد الله بن انس بن رواح بن امرى القيس بن زيد بن عبد الاشهل","Aws","Abd al-Ashhal",,,,,1,,,,,
"NQ78","عون بن محمد بن عاى","Quraysh","Qusayy","Hashim","Alid",,7,"ام سعيد بنت سعيد بن زيد بن مالك من بنو عبد الاشهل","Aws","Abd al-Ashhal",,,,,1,1,,,,
"NQ78","ابراهيم بن محمد بن على  ","Quraysh","Qusayy","Hashim","Alid",,7,"امامة بنت عبد الله بن سعيد بن خيثمة من الانصار","Aws","Ghanam b. al-Salam",,,,,1,1,,,,
"NQ77","عون بن على بن محمد بن على","Quraysh","Qusayy","Hashim","Alid",,8,"مهدية بنت عبد الرحمن بن عمر بن محمد بن مسلمة الانصارى","Aws","Haritha b. al-Harith",,,,,1,2,,,,
"NQ172","حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Umayyad",,,6,"مريم بنت عبد الله بن ابو معقل بن نهيل بن اساف من بنو حارثة من الاوس","Aws","Harith",,,,,,1,,,,
"NQ349","عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,6,"جميلة بنت ثابت/ابو الاقلح بن عصمة بن مالك بن امية بن ضبيعة من بنو عمرو بن عوف","Aws","Amru b. Awf",,,,,1,,,,,
"NQ350","عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,6,"سعيدة بنت رافع بن عبيد بن عمرو بن عبيد بن امية بن زيد من بنو عمرو بن عوف","Aws","Amru b. Awf",,,,,1,,,,,
"NQ363","زيد بن الخطاب","Quraysh","Adi b. Ka'b",,,,6,"لبابة بنت عبد المنذر الانصارى من بنو عمرو بن عوف","Aws","Amr b. Awf",,,,,,,,,,
"NQ359","عبد العزيز بن عبد الله بن عبد الله بن عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,9,"امة الحميد بنت عبد الله بن عياض بن عمرو بن بليل بن بلال بن احيحة بن الجلاح","Aws  ","Awf",,,,,1,,,,,
"NQ349","ثابت/ابو الاقلح بن عصمة بن مالك بن امية بن ضبيعة","Aws","Amr b. Awf",,,,,"ام الشموس بنت ابو عامر/الراهب بن صيفى","Aws",,,,,,,1,,,,
"NQ353","يزيد بن جارية","Aws","Amr b. Awf",,,,,"جميلة بنت ثابت بن ابو الاقلح","Aws","Amru b. Awf",,,,,1,,,,,
"NQ251","عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,3,"السلافة الكبرى بنت شهيد بن عمرو بن عوف","Aws","Amr b. Awf",,,,,1,,,,,
"NQ92","قيس بن مخرمة بن المطلب بن عبد مناف","Quraysh","Qusayy",,,,4,"درة بنت عقبة بن ربيعة بن امرى القيس بن زيد بن عبد الاشهل الانصارى","Aws","Abd al-Ashhal",,,,,3,"Women",,,,
"NQ252","طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,5,"سلامة الصغرى بنت سعد بن شهيد","Aws",,,,,,4,,,,,
"NQ154","الوليد بن عبتة بن ربيعة بن عبد شمس ","Quraysh","Qusayy",,,,5,"هند بنت جرول بن مالك بن عمرو بن عزيز بن مالك بن عوف بن عمرو بن عوف بن الاوس","Aws",,,,,,1,1,,,,
"NQ252","عثمان بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,6,"Unnamed - من بنو عمرو بن عوف","Aws","Amru b. Awf",,,,,1,,,,,
"NQ267","عبد الرحمن بن عوف بن عبد عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,5,"Unnamed من بنو عبد الاشهل","Aws","Abd al-Ashhal",,,,,1,,,,,
"NQ271","غرير/عبد الرحمن بن المغيرة بن حميد بن عبد الرحمن بن عوف بن عبد عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,8,"هند بنت مروان بن الحارث بن عمرو بن سعد بن معاذ الانصارى","Aws","Abd al-Ashhal",,,,,3,,,,,
