"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ444","عبد شمس بن عمرو بن عائش بن ظرب بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,-1,"بنت الحصين بن الحمام بن ربيعة من بنو مرة","Ghatafan","Murra b. Awf","Sahm",,,,4,,,,,
"NQ419","عمرو بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,3,"Unnamed - من عبس","Ghatafan","Abs (b. Baghid)",,,,,1,,,,,
"NQ419","عمرو بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,3,"Unnamed - من اشجع","Ghatafan","Ashja'",,,,,1,,,,,
"NQ328","هشام بن المغيرة","Quraysh","Makhzum",,,,4,"زينب بنت عوف بن خارجة بن سنان بن ابو حارثة (بن مرة بن نشبة بن غيظ بن مرة بن عوف)","Ghatafan","Murra b. Awf",,,,,1,,,,,
"NQ370","ابو الجهم بن حذيفة بن غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,5,"اميمة بنت الجنيد بن كنانة بن قيس بن زهير بن جذيمة (بن رواحة بن ربيعة بن مازن بن الحارث بن قطيعة بن عبس بن بغيض)","Ghatafan","Abs (b. Baghid)",,,,,1,,,,,
"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,5,"مليكة بنت اوفى بن خارجة بن سنان بن ابو حارثة بن مرة بن نشبة بن غيظ بن مرة بن عوف","Ghatafan","Murra b. Awf",,,,,5,4,,,,
"NQ438","ابو قيس بن علقمة بن عبد بن عبد مناف بن الحارث بن منقذ بن عمرو بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,5,"هند بنت الحصين بن حمام المرى ( بن ربيعة بن مساب بن حرام بن واثلة بن سهم بن مرة بن عوف)","Ghatafan","Murra b. Awf","Sahm",,,,1,,,,,
"NQ283","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,5,"سعدى بنت عوف بن خارجة بن سنان بن ابو خارجة (/ابو حارثة بن مرة بن نشبة بن غيظ بن مرة بن عوف)","Ghatafan","Murra b. Awf",,,,,2,,,,,
"NQ330","طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,5,"سعدى بنت عوف بن خارجة بن سنان (بن ابو حارثة بن مرة بن نشبة بن غيظ بن مرة بن عوف)","Ghatafan","Murra b. Awf",,,,,2,,,,,
"NQ83","عبد الله بن جعفر بن ابو طالب","Quraysh","Qusayy","Hashim",,,6,"النابغة بنت خداش من بنو عبس بن بغيض","Ghatafan","Abs b. Baghid",,,,,1,,,,,
"NQ239","عبد الله بن الزبير بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad","Zubayrid",,6,"تماضر بنت منظور بن زبان بن سيار بن عمرو بن جابر بن عقيل بن هلال بن مازن بن فزارة","Ghatafan","Fazara",,,,,4,,,,,
"NQ243","عبد الله بن الزبير بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad","Zubayrid",,6,"ام هشام بنت منظور بن زبان بن سيار (بن عمرو بن جابر بن عقيل بن هلال بن مازن بن فزارة)","Ghatafan","Fazara",,,,,4,,,,,
"NQ46","الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Hasanid",6,"خولة بنت منظور بن زبان بن سيار بن عمرو بن جابر بن عقيل بن هلال بن سمى بن مازن بن فزارة بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس بن عيلان بن مضر بن نزار بن معد بن عدنان","Ghatafan","Fazara",,,,5,1,,,,,
