"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ367","اذاة بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,3,"سبيعة بنت الاحب بن زبعية بن جذيمة بن عوف بن نصر بن معاوية (بن بكر بن هوازن)","Qays Aylan","Hawazin",,,,,,1,,,,
"NQ439","نزار بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,-1,"خلدة بنت عوف بن نصر بن معاوية (بن بكر بن هوازن)","Qays Aylan","Hawazin",,,,,3,2,,,,
"NQ386","حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,1,"قتيلة بنت ذئب بن جذيمة بن عوف بن نصر","Qays Aylan","Hawazin",,,,,3,,,,,
"NQ397","عمرو بن اهيب بن حذافة بن جمح","Quraysh","Jumah",,,,3,"سبيعة الصغرى بنت الاجب بن زبينة النضرى","Qays Aylan","Hawazin","Nadr (Nasr?)",,,,3,,,,,
"NQ343","عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,2,"فاطمة/ام امية بنت ربيعة بن عبد العزى بن رزاح بن جحوش بن معاوية بن بكر بن هوازن","Qays Aylan","Hawazin",,,,,2,,,,,
"NQ316","عبد الله بن ابو امية بن المغيرة","Quraysh","Makhzum",,,,5,"Unnamed - من نصر بن معاوية","Qays Aylan","Hawazin","Nasr b. Mu'awiya",,,,1,,,,,
"NQ315","خالد بن العاصى بن هشام بن المغيرة","Quraysh","Makhzum",,,,6,"ام معبد بنت كليب بن حزن بن معاوية بن خفاجة بن عمرو بن عقيل بن كعب","Qays Aylan","Hawazin","Uqayl","Khafaja",,,1,,,,,
"NQ342","المطلب بن عبد الله بن المطلب بن حنطب بن الحارث بن عبيد بن عمر بن مخزوم","Quraysh","Makhzum",,,,7,"ام الفضل بنت كليب بن حزن بن معاوية من بنو خفاجة بن عقيل","Qays Aylan","Hawazin","Uqayl","Khafaja",,,2,1,,,,
"NQ250","عبد الدار بن قصى","Quraysh","Qusayy",,,,1,"الناقصة بنت ذؤيبة بن قصية بن نصر بن سعد بن بكر بن هوازن","Qays Aylan","Hawazin",,,,,1,,,,,
"NQ256","عبد الدار بن قصى","Quraysh","Qusayy",,,,1,"الناقصة بنت ذؤيبة بن قصية بن نصر بن سعد بن بكر","Qays Aylan","Hawazin",,,,,1,,,,,
"NQ15, NQ16","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,1,"واقدة بنت ابو عدىّ/عامر بن عبد نهم/الحارث بن نوفل بن عبادة بن زيد بن وائلة بن مازن بن صعصعة","Qays Aylan","Hawazin",,,,,2,,,,,
"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,2,"واقدة بنت ابو عدىّ/عامر بن عبد نهم/الحارث بن نوفل بن عبادة بن زيد بن وائلة بن مازن بن صعصعة","Qays Aylan","Hawazin",,,,,,2,,,,
"NQ14","مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,"مارية بنت حوزة بن عمرو بن سلول/مرّة بن صعصعة بن معاوية بن بكر بن هوازن بن (منصور بن عكرمة بن خصفة بن قيس بن عيلان بن مضر EI2 Hawazin)","Qays Aylan","Hawazin",,,,,,1,,,,
"NQ293","عبد مناف بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,2,"سبيعة بنت الاجب بن زبينة بن خزيمة بن عوف بن نصر بن معاوية ( بن بكر بن هوازن)","Qays Aylan","Hawazin",,,,,1,,,,,
"NQ347","عبد مناف بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,2,"سبيعة بنت الاحب بن زبينة بن جذيمة بن عوف بن نصر بن معاوية (بن بكر بن هوازن)","Qays Aylan","Hawazin",,,,,,1,,,,
"NQ383","عبد مناف بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,2,"سبيعة بنت الاجب بن زبينة بن خزيمة بن عوف بن نصر بن معاوية (بن بكر بن هوازن)","Qays Aylan","Hawazin",,,,,,,,,,
"NQ442","تيم بن غالب","Quraysh",,,,,-4,"فاطمة بنت معاوية بن بكر بن هوازن","Qays Aylan","Hawazin",,,,,3,,,,,
