"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ236","الزبير بن العوام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad","Zubayrid",,5,"الرباب بنت انيف بن عبيد بن مصاد بن حصن بن كعب بن عليم بن جناب الكلبى","Kalb",,,,,,2,1,,,,
"NQ147","عبد الرحمن بن عوف","Quraysh","Zuhra",,,,5,"تماضر بنت الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن الكلبى (بن ضمضم بن عدى بن جناب بن هبل بن كلب)","Kalb",,,,,,1,,,,,
"NQ267","عبد الرحمن بن عوف بن عبد عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,5,"تماضر بنت الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب بن هبل بن كلب","Kalb",,,,,,1,,,,,
"NQ59","الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Husaynid",6,"الرباب بنت امرى القيس بن عدى بن اوس بن جابر بن كعب بن عليم بن جناب","Kalbi",,,,,,1,1,,,,
"NQ105","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,6,"نائلة بنت الفرافصة بن الاحوص بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب بن كلب بن وبرة","Kalb",,,,,,,3,,,,
"NQ180","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,6,"نائلة بنت الفرافصة بن الاحوض الكلبى (بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب بن كلب بن وبرة)","Kalb",,,,,,,1,,,,
"NQ160","مروان بن الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad","Marwanid",,6,"ليلى بنت زبان بن الاصغر بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب من كلب","Kalb",,,,,,1,1,,,,
"NQ127","معاوية بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,6,"ميسون بنت بحدل بن انيف بن دلجة بن قنافة بن عدى بن زهير بن حارثة بن جناب","Kalb",,,,,,1,,,,,
"NQ147","خالد بن عقبة بن ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,7,"تماضر بنت الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن الكلبى (بن ضمضم بن عدى بن جناب بن هبل بن كلب)","Kalb",,,,,,1,,,,,
"NQ267","خالد بن عقبة بن ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,7,"تماضر بنت الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب بن هبل بن كلب","Kalb",,,,,,2,1,,,,
"NQ310","المغیرة بن عبد الرحمن بن الحارث","Quraysh","Makhzum",,,,7,"بنت صدقة بن شعيب بن ربيع بن مسعود بن مصاد بن حصن بن كعب بن عليم بن جناب","Kalb",,,,,,1,2,,,,
"NQ131","عبد الرحمن بن يزيد (بن معاوية)","Quraysh","Qusayy","Umayyad","Sufyanid",,8,"عائشة بنت زبان بن انيف بن عبيد بن مصاد بن حصن بن كعب بن عليم من کلب","Kalb",,,,,,,1,,,,
"NQ131","عبد الله بن يزيد بن معاوية","Quraysh","Qusayy","Umayyad","Sufyanid",,8,"عائشة بنت زبان بن انيف بن عبيد بن مصاد بن حصن بن كعب بن عليم من کلب","Kalb",,,,,,1,1,,,,
"NQ267","الاصبغ بن عمرو بن ثعلبة بن الحارث بن حصن (بن ضمضم بن عدى بن جناب بن هبل بن كلب)","Kalb",,,,,,"جويرية بنت وبرة بن رومانس","Kalb",,,,,,,1,,,,
"NQ160","معاوية بن عبد الله بن القائلة الانمارى","Anmar",,,,,,"ليلى بنت زبان بن الاصغر بن عمرو بن ثعلبة بن الحارث بن حصن بن ضمضم بن عدى بن جناب","Kalb",,,,,7,1,,,,,
