"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ16","المطلب بن عبد مناف بن قسىّ","Quraysh","Qusayy",,,,2,"هند بنت عمرو بن ثعلبة بن الخزرج","Khazraj",,,,,,2,,,,,
"NQ92","المطلب بن عبد مناف بن قصى","Quraysh","Qusayy",,,,2,"هند بنت عمرو بن ثعلبة بن سلول بن الخزرج","Khazraj",,,,,,2,,,,,
"NQ15","هاشم بن عبد مناب","Quraysh","Qusayy","Hashim",,,2,"سلمى بنت عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar",,,,,1,1,,,,
"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,2,"هند بنت عمرو بن ثعلبة (بن سلول NQ92) بن الخزرج","Khazraj",,,,,,2,,,,,
"NQ92","هاشم بن عبد مناف","Quraysh","Qusayy",,,,2,"هند بنت عمرو بن ثعلبة بن سلول بن الخزرج","Khazraj",,,,,,1,,,,,
"NQ92","مخرمة بن المطلب بن عبد مناف","Quraysh","Qusayy",,,,3,"هند بنت معمر بن امية من بنو بياضة","Khazraj","Bayada",,,,,2,,,,,
"NQ421","زمعة بن قيس بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,4,"الشموس بنت قيس بن عمرو بن زيد بن لبيد بن خداش من بنو النجار","Khazraj","Najjar",,,,,,1,,,,
"NQ278","ابو بكر الصديق بن ابو قحافة بن عامر بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,5,"حبيبة بنت خارجة بن زيد بن ابو زهير من بنو الحارث بن الخزرج","Khazraj","Harith b. Khazraj",,,,,,1,,,,
"NQ422","مشنق بن عبد بن وقدان بن عبد شمس (بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى)","Quraysh","Amir b. Lu'ayy",,,,5,"الشموس بنت قيس بن عمرو بن زيد بن لبيد بن خداش من بنو النجار","Khazraj","Najjar",,,,,1,,,,,
"NQ49","الحسن بن على","Quraysh","Qusayy","Hashim","Alid","Hasanid",6,"ام بشر بنت ابو مسعود/عقبة بن عمرو بن ثعلبة بن اسيرة بن عميرة بن عطية الانصارى","Khazraj",,,,,,1,1,,,,
"NQ88","العباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,6,"ام فراس بنت حسان بن ثابت بن المنذر","Khazraj",,,,,,1,1,,,,
"NQ50","عبد الرحمن بن عبد الله بن ابو ربيعة بن المغيرة (بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة)","Quraysh","Makhzum",,,,6,"ام بشر بنت ابو مسعود/عقبة بن عمرو بن ثعلبة بن اسيرة بن عميرة بن عطية الانصارى","Khazraj",,,,,,1,,,,,
"NQ39","عبد الله بن الحارث بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,6,"جمال بنت النعمان (ابو حزم بْن عتيك بْن النعمان بْن عَمْرو بْن عتيك بْن عَمْرو بْن مبذول وهو عامر بن مالك بن النجار Bal 4.68)","Khazraj","Najjar",,,,,3,1,,,,
"NQ252","مسافع بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,6,"Unnamed من بنو الحارث بن الخزرج","Khazraj","Al-Harith b. Khazraj",,,,,1,,,,,
"NQ319","الحارث بن عبدالله بن عياش بن ابو ربیعة بن المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,7,"عائشة بنت نعمان بن عجلان من الانصار من بنو زريق","Khazraj","Zurayk",,,,,1,,,,,
"NQ50","سعيد بن زيد بن عمرو بن نفيل ( بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب)","Quraysh","Adi b. Ka'b",,,,7,"ام بشر بنت ابو مسعود/عقبة بن عمرو بن ثعلبة بن اسيرة بن عميرة بن عطية الانصارى","Khazraj",,,,,,,1,,,,
"NQ16","احيحة بن الجلاح بن الحريش بن جحجبا بن كلفة بن عوف","Aws","Awf","Amr",,,,"سلمى بنت عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar",,,,,3,,,,,
"NQ124","عبادة بن الصامت","Khazraj","Ghanam b. Awf",,,,,"حرام بنت  ملحان (بن خالد ابن زيد بن حرام بن جندب بن عامر بن غنمِ بن عديِ بن النجار)","Khazraj","Najjar",,,,,,,,,,
"NQ15","عمرو بن زيد بن لبيد بن خداش بن عامر بن غنم بن عدىّ بن النجار تيم الله بن ثعلبة بن عمرو بن الخزرج","Khazraj","Najjar","Adi",,,,"عميرة بنت ضخر بن حبيب بن الحارث بن ثعلبة بن مازن بن النجار","Khazraj","Najjar",,,,,,1,,,,
