"Source","HusbandName","HusbandTribe","HusbandSubtribe1",,,,"Source for non-Qurashi tribal affiliation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ447","محارب بن فهر","Quraysh",,,,,,-5,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ433","معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,-2,"انيسة بنت كعب بن عمرو بن ربيعة من خزاعة","Khuza'a",,,,,,2,,,,,
"NQ369","عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,,-1,"مخشية بنت عدي بن سلول بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,1,,,,,
"NQ437","عمرو بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,-1,"دعد بنت سعد بن كعب بن عمرو من خزاعة","Khuza'a",,,,,,3,,,,,
"NQ346","قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,,0,"ليلى بنت سليم بن بوى بن ملكان بن افصى من خزاعة","Khuza'a",,,,,,,,,,,
"NQ436","حجر بن عبد بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,0,"Unnamed","Khuza'a",,,,,,5,,,,,
"NQ386","جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,,0,"بنت بوى بن ملكان بن افصى من خزاعة","Khuza'a",,,,,,2,,,,,
"NQ14","قصىّ بن كلاب","Quraysh","Qusayy",,,,,0,"حبى بنت حليل بن حبشة بن سلول بن كعب بن عمرو (بن ربيعة بن حارثة بن عمرو بن عامر بن حارثة بن آمرىء القيس بن ثعلبة بن مازن بن الازد(JMY 439) من خزاعةبن","Khuza'a",,,,,,4,2,,,,
"NQ400","سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,0,"Unnamed","Khuza'a",,,,,,1,,,,,
"NQ257","زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,,0,"جمل بنت مالك بن قصية بن سعد بن مليح بن عمرو من خزاعة","Khuza'a ",,,,,,1,,,,,
