"Source","HusbandName","HusbandTribe","HusbandSubtribe1",,,,"Source for non-Qurashi tribal affiliation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ443","الحارث بن فهر","Quraysh","Harith b. Fihr",,,,,-5,"بنت الحارث بن مالك بن كنانة بن خزيمة","Kinana",,,,,,7,,,,,
"NQ13","مرة بن كعب","Quraysh",,,,,,-2,"هند بنت سرير بن ثعلبة بن الحارث بن مالك بن كنانة","Kinana",,,,,-4,1,,,,,
"NQ434","عبد بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,-1,"بنت تميم بن مدلج بن مرة بن عبد مناة","Kinana",,,,,,2,1,,,,
"NQ439","السيار بن نزار بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,0,"دعد بنت عمرو بن مدلج بن مرة بن عبد مناة بن كنانة","Kinana",,,,,,10,2,,,,
"NQ439","وهب بن عبد بن معيص","Quraysh","Amir b. Lu'ayy",,,,,0,"هند بنت مالك بن علقمة","Kinana",,,,,,2,,,,,
"NQ174","عروة بن حذيم بن سعد (بن سهم)","Quraysh","Sahm",,,,,3,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,,1,,,,,
"NQ402","عروة بن خذيم بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,3,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر)","Kinana","Layth",,,,,1,,,,,
"NQ280","عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,3,"هند بنت البياع بن عبد ياليل بن غيرة بن سعد بن ليث بن بكر","Kinana","Layth",,,,,2,,,,,
"NQ294","عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,,3,"هند بنت البياع بن عبد ياليل بن غيرة بن سعد بن ليث بن بكر","Kinana","Layth",,,,,1,,,,,
"NQ90","ابو صيفى بن هاشم بن عبد مناف بن قصى","Quraysh","Qusayy","Hashim",,,,3,"Unnamed من بنو مالك بن كنانة","Kinana","Malik b. Kinana",,,,,2,,,,,
"NQ422","عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,,3,"قاص بنت البياع/عبد شمس بن عبد ياليل","Kinana",,,,,,3,,,,,
"NQ301","المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,,3,"Unnamed of Banu al-Ahmar b. al-Harith b. Abd Mana'a b. Kinana","Kinana",,,,,,1,,,,,
"NQ301","المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,,3,"بنت شيطان/عبد الله بن عمرو بن الحارث بن مالك بن عبد مناة بن كنانة","Kinana",,,,,,,,,,,
"NQ401","قيس بن عدى بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,3,"الغيطلة بنت مالك بن الحارث بن عمرو بن الصعق بن شنوق بن مرة بن عبد مناة بن كنانة","Kinana",,,,,,2,,,,,
"NQ379","نصر بن غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,,4,"Unnamed - امه من بنو فراس","Kinana","Firas b. Ghanam",,,,,1,,,,,
"NQ316","ابو امية بن المغيرة","Quraysh","Makhzum",,,,,4,"عاتكة بنت عامر بن ربيعة بن مالك بن جذيمة بن علقمة احد بنو فراس بن غنم بن مالك بن كنانة","Kinana","Firas b. Ghanam",,,,,1,1,,,,
"NQ150","سمرة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,,4,"حارثة بنت ابو الفرعة بن قيس بن اعيا بن مالك بن علقمة جذل الطعان بن فراس بن غنم بن مالك بن كنانة","Kinana","Firas b. Ghanam",,,,,1,,,,,
"NQ264","سعد بن ابو وقاص بن اهيب بن عبد مناف","Quraysh","Zuhra",,,,,4,"ام حكيم بنت قارط بن خالد (بن عبيد بن سويد)","Kinana","Harith b. Abd Mana'a",,,,,1,,,,,
"NQ174","العاصى بن امية","Quraysh","Qusayy","Umayyad",,,,4,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,,1,2,,,,
"NQ402","العاصى بن امية","Quraysh","Qusayy","Umayyad",,,,4,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر)","Kinana","Layth",,,,,1,,,,,
"NQ392","ابى بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,,4,"هريرة بنت المحجل بن قيس الليثى","Kinana","Layth",,,,,2,"Niswatan",,,,
"NQ95","عبد يزيد بن هاشم بن المطلب بن عبد مناف ","Quraysh","Qusayy",,,,,4,"العجلة بنت العجلان بن التباع من بنو ليث","Kinana","Layth",,,,,4,,,,,
"NQ204","طريف بن عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,,4,"صفية بنت عبيد الله بن بجاد من بنو ملكان من كنانة","Kinana","Malkan",,,,,1,,,,,
"NQ402","الحارث بن قيس بن عدى بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,,4,"Unnamed","Kinana","Shanuq b. Murra b. Abd Mana'a",,,,,1,,,,,
"NQ439","الحارث بن رحصة بن عامر بن رواحة بن منقذ بن عمرو بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,4,"هند بنت مالك بن علقمة","Kinana",,,,,,,,,,,
"NQ426","مخرمة بن عبد العزى بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,,4,"بهنانة بنت صفوان بن امية بن محرث بن خمل بن شق بن رقبة بن مخدج بن الحارث بن ثعلبة بن مالك بن كنانة","Kinana",,,,,,1,,,,,
"NQ153","عبتة بن ربيعة بن عبد شمس","Quraysh","Qusayy",,,,,4,"فاطمة/ام صفوان بنت صفوان بن امية بن محرز الكنانى","Kinana",,,,,,2,,,,,
"NQ31","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,,5,"ام حكيم بنت قارظ بن خالد من بنو الحارث بن عبد مناة بن كنانة","Kinana","Abd Mana'a","Harith  ",,,,2,,,,,
"NQ152","حاجب بن ابو العاصى بن نوفل بن عبد شمس","Quraysh","Qusayy",,,,,5,"ليلى بنت سفيان بن عوف بن عبد الله بن عبد مناة بن كنانة","Kinana","Abd Mana'a",,,,,1,,,,,
"NQ385","مطيع بن الاسود بن حارثة بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,5,"ام هشام/اميمة بنت ابو الخيار بن ابو عمر بن عامرة بن عوف بن كعب بن عامر بن ليث","Kinana","Abd Manat",,,,,5,1,,,,
"NQ126","ابو سفيان بن حرب بن امية","Quraysh","Qusayy","Umayyad","Sufyanid",,,5,"Unnamed","Kinana","Al-Harith b. 'Abd Manaa",,,,,,1,,,,
"NQ385","مطيع بن الاسود بن حارثة بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,,5,"ام كلثوم بنت معاوية بن عروة بن صخر بن معمر بن نفاثة بن الدئل بن بكر","Kinana","Bakr b. Abd Mana'a","Du'il",,,,2,1,,,,
"NQ385","هبيرة بن ابو وهب بن عمرو بن عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,,5,"ام كلثوم بنت معاوية بن عروة بن صخر بن معمر بن نفاثة بن الدئل بن بكر","Kinana","Bakr b. Abd Mana'a","Du'il",,,,3,,,,,
"NQ231","حكيم بن حزام بن خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,,5,"Unnamed","Kinana","Firas b. Ghanam",,,,,1,,,,,
"NQ126","ابو سفيان بن حرب بن امية","Quraysh","Qusayy","Umayyad","Sufyanid",,,5,"زينب بنت نوفل بن خلف بن فوالة بن حذيفة بن طريف بن علقمة بن فراس بن غنم بن مالك بن كنانة","Kinana","Firas b. Ghanam",,,,,1,,,,,
"NQ264","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,,5,"ام حكيم بنت قارط بن خالد (بن عبيد بن سويد)","Kinana","Harith b. Abd Mana'a",,,,,2,,,,,
"NQ264","عبد الرحمن بن عوف","Quraysh","Zuhra",,,,,5,"ام حكيم بنت قارط بن خالد (بن عبيد بن سويد)","Kinana","Harith b. Abd Mana'a",,,,,1,,,,,
"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,,5,"ام خالد بنت خباب بن عبد ياليل بن ناشب بن غيرة بن سعد بن ليث بن بكر ","Kinana","Layth",,,,,1,,,,,
"NQ174","المطعم بن نوفل","Unclear",,,,,,5,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,,1,,,,,
"NQ252","طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,,5,"مريم بنت عبد الله بن مبشر من بنى سعد بن ليث","Kinana","Sa'd b. Layth",,,,,1,,,,,
