"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ98","عبد شمس بن عبد مناف","Quraysh","Qusayy",,,,2,"امامة بنت الجودى من كندة","Kinda",,,,,,1,,,,,
"NQ337","اذاة بن رياح (بن عبد الله بن قرط بن رزاح بن عدى بن كعب)","Quraysh","Adi b. Ka'b",,,,3,"Unnamed","Kinda",,,,,,1,,,,,
"NQ366","اذاة بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,3,"سلمى بنت سفيان بن ربيعة من كندة","Kinda",,,,,,1,,,,,
"NQ251","ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,4,"ارنب/الزرقاء بنت موهب بن نمر بن عمرو بن النعمان بن وهب بن الحارث بن الولادة بن عمرو بن معاوية بن كندة","Kinda",,,,,,3,,,,,
"NQ264","سعد بن ابو وقاص بن اهيب بن عبد مناف","Quraysh","Zuhra",,,,4,"مارية نبت قيس بن معدى كرب من کندة","Kinda",,,,,,2,,,,,
"NQ337","عبد الاسد بن هلال بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,"Unnamed","Kinda",,,,,,2,,,,,
"NQ366","عبد الاسد بن هلال بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,"سلمى بنت سفيان بن ربيعة من كندة","Kinda",,,,,,2,,,,,
"NQ280","عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة","Quraysh","Taym b. Murra",,,,4,"كريمة بنت موهب بن نمران من كندة","Kinda",,,,,,1,,,,,
"NQ394","معمر بن حبيب بن وهب بن حذافة بن جمح","Quraysh","Jumah",,,,4,"بنت موهب بن نمران","Kinda",,,,,,1,,,,,
"NQ117","عبد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"زرعة بنت مشرح (بن معدى كرب بن وليعة بن شرحبيل بن معاوية بن حجر القود بن الحارث الولادة بن عمرو بن معاوية بن الحارث بن معاوية بن ثور بن مرتع بن معاوية بن ثور)","Kinda",,,,,,,1,,,,
"NQ285","عبد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"زرعة بنت مشرح (بن معدى كرب بن وليعة بن شرحبيل بن معاوية بن حجر القود بن الحارث الولادة بن عمرو بن معاوية بن الحارث بن معاوية بن ثور بن مرتع بن معاوية بن ثور)","Kinda",,,,,,,1,,,,
"NQ28","عبد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"زرعة بنت مشرح بن معدى كرب بن وليعة بن شرحبيل بن معاوية بن حجر القود بن الحارث الولادة بن عمرو بن معاوية بن الحارث بن معاوية بن ثور بن مرتع بن معاوية بن ثور و هو كندى","Kinda",,,,,,6,1,,,,
"NQ396","الحطاب بن الحارث بن معمر بن حبيب بن وهب بن حذافة بن جمح","Quraysh","Jumah",,,,6,"كريمة بنت ابو فكيهة بن يسار","Kinda",,,,,,,,,,,
"NQ31","عباس/العنق بن عبد الله بن عباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,6,"جعدة بنت الاشعث بن قيس الكندى","Kinda",,,,,,1,1,,,,
"NQ31","الاشعث بن قيس الكندى","Kinda",,,,,,"Unnamed woman","Kinda",,,,,,,1,,,,
