"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ312","ابو جهل بن هشام بن المغيرة","Quraysh","Makhzum",,,,5,"عائشة بنت الحارث بن ربيع بن زياد بن عبد الله بن سفيان بن ناشب من بنو عبس","Abs",,,,,,1,,,,,
"NQ412","عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,-3,"ليلى بنت الحارث بن عضل بن دبش بن غالب بن محلم بن الهون بن خزيمة بن مدركة بن الياس بن مضر بن نزار","Adl b. Dish",,,,,,3,,,,,
"NQ347","نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,4,"قلابة بنت ذى الاصبع من عدوان","Adwan",,,,,,2,,,,,
"NQ369","عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,2,"قلابة بنت ذى الاصبع/حرثان بن سياه بن هنى بن عامر بن ظرب بن الحارث","Adwan",,,,,,1,1,,,,
"NQ149","عبد الله بن عامر بن كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,7,"Unnamed - من بنو الحارث بن عبد مناة بن كنانة","Ahabish","Harith b. Abd Mana'a ",,,,,2,,,,,
"NQ264","عبتة بن ابو وقاص بن اهيب بن عبد مناف","Quraysh","Zuhra",,,,4,"بنت خالد بن عبيدة بن سويد من بنو الحارث بن عبد مناة","Ahabish","Harith b. Abd Mana'a",,,,,,,,,,
"NQ267","عبد الرحمن بن عوف بن عبد عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,5,"ام حكيم بن قارط بن خالد بن عبيد بن سويد من بنو الحارث بن عبد مناة بن كنانة","Ahabish","Harith b. Abd Mana'a",,,,,1,,,,,
"NQ322","الوليد بن المغيرة","Quraysh","Makhzum",,,,4,"حنتمة بنت سيطان بن عمرو بن كعب بن وائلة بن الاحمر بن الحارث بن عبد مناة","Ahabish","Harith b. Abd Mana'a",,,,,2,1,,,,
"NQ342","هرمى بن عامر بن مخزوم","Quraysh","Makhzum",,,,2,"نعم بنت قيس بن مالك بن عوف بن الحارث بن عبد مناة بن كنانة","Ahabish","Harith b. Abd Mana'a",,,,,1,,,,,
"NQ390","صفوان بن امية بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,5,"البغوم بنت المعذل من بنو الحارث بن عبد مناة بن كنانة","Ahabish","Harith b. Abd Mana'a",,,,,2,,,,,
