"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ197","الحارث بن جابر بن وهب بن نسيب","Qays Aylan","Mazin b. Mansur",,,,,"ام الخيار/هند بنت وهيب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور اخوة سليم بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,1,,,,
"NQ229","الحارث بن جابر بن وهب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,"هند بنت وهيب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,1,,,,
"NQ11","النضر بن كنانة",,,,,,-8,"عكرشة بنت عدوان بن عمرو بن قيس بن عيلان بن مضر","Qays Aylan",,,,,-8,3,,,,,
"NQ8","خزيمة بن مدركة",,,,,,-10,"عوانة بنت قيس بن عيلان بن مضر","Qays Aylan",,,,,-10,1,,,,,
"NQ197","خويلد بن اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,3,"منينة بنت الحارث بن جابر بن وهب بن نسيب","Qays Aylan","Mazin b. Mansur",,,,,,,,,,
"NQ229","خويلد بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,3,"منينة بنت الحارث بن جابر بن وهب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,3,1,,,,
"NQ76","سليمان بن عطية بن دبية","Unknown",,,,,,"مسرعة بنت عباد بن شيبان بن جابر بن اهيب بن نسيب بن زيد بن مالك من بنو مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,1,,,,,
"NQ361","عاصم بن عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,7,"سدرة بنت يزيد من بنو محارب بن خصفة","Qays Aylan","Muharib b. Khadafa",,,,,1,,,,,
"NQ443","عامرة بن عميرة بن وديعة بن الحارث بن فهر","Quraysh","Harith b. Fihr",,,,-2,"هند بنت عبد الله بن الحارث بن وائلة بن ظرب بن عدوان (عدوان بن عَمْرو بن قيس بن عيلان)","Qays Aylan",,,,,,8,,,,,
"NQ104","عثمان بن عفان","Quraysh","Qusayy","Umayyad","Uthmanid",,6,"فاختة بنت غزوان بن جابر","Qays Aylan","Mazin b. Mansur",,,,,1,,,,,
"NQ13","كعب بن لؤىّ","Quraysh",,,,,-3,"حبيبة بنت بجالة بن سعد بن فهم بن عمرو بن قيس بن عيلان بن مضر","Qays Aylan",,,,,-6,1,,,,,
"NQ76","محمد بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,6,"مسرعة بنت عباد بن شيبان بن جابر بن اهيب بن نسيب بن زيد بن مالك من بنو مازن بن منصور","Qays Aylan","Mazin b. Mansur",,,,,1,,,,,
"NQ209","نوفل بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,3,"بنت جابر بن سفيان","Qays Aylan","Sa'd b. Fahm",,,,,1,,,,,
"NQ197","نوفل بن عبد مناف","Quraysh","Qusayy",,,,2,"ام الخيار/هند بنت وهيب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور اخوة سليم بن منصور","Qays Aylan","Mazin b. Mansur",,,,,1,,,,,
