"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ437","منقذ بن عمرو بن معيص بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,0,"ميمونة بنت رواحة بن عصية بن خفاف بن امرى القيس بن بهثة بن سليم","Qays Aylan","Sulaym",,,,,3,3,,,,
"NQ14","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,1,"عاتكة بنت مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,3,5,,,,
"NQ425","عدى بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,3,"فاختة بنت عباس بن حى بن رعل بن مالك بن عوف بن امرى القيس بن بهثة بن سليم بن منصور","Qays Aylan","Sulaym",,,,,,1,,,,
"NQ198","عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,3,"فاختة بنت عباس بن عامر بن حي بن رعل بن مالك بن عوف بن امرى القيس بن بهثة بن سليم بن منصور","Qays Aylan","Sulaym b. Mansur",,,,,2,,,,,
"NQ201","الخيار بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,4,"ام فاختة بنت عباس بن عامر بن حي بن رعل","Qays Aylan","Sulaym",,,,,1,,,,,
"NQ138","صفوان بن نوفل بن اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,4,"سالمة بنت امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,,,1,,,,
"NQ153","عبتة بن ربيعة بن عبد شمس","Quraysh","Qusayy",,,,4,"صفية بنت امية بن حارثة بن الاوقص بن مرة بن هلال بن فالج بن ذكوان","Qays Aylan","Sulaym ",,,,,5,3,,,,
"NQ394","عثمان بن مظعون بن حبيب بن وهب بن حذافة بن جمح","Quraysh","Jumah",,,,5,"خولة بنت حكيم بن امية بن حارثة بن الاوقص السلمى","Qays Aylan","Sulaym ",,,,,2,,,,,
"NQ344","قيس بن السائب بن عويمر بن عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,5,"دجاجة بنت اسماء بن الصلط (بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم)","Qays Aylan","Sulaym",,,,,1,,,,,
"NQ149","قيس بن السائب بن عويمر بن عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,5,"دجاجة بنت اسماء بن الصلط بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم","Qays Aylan","Sulaym ",,,,,1,,,,,
"NQ138","ابو معيط بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,5,"سالمة بنت امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,,2,2,,,,
"NQ201","جبير بن مطعم بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,5,"قوالة بنت الحكم بن قريع بن حكيم بن امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,,1,,,,,
"NQ345","المسيب بن حزن بن ابو وهب بن عمرو بن عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,6,"ام سعيد بنت عثمان بن حكيم بن امية بن حارثة بن الاوقص بن مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور","Qays Aylan","Sulaym",,,,,5,,,,,
"NQ252","الحارث بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,6,"برة بنت سفيان بن سعيد بن قانف بن الاوقص السلمى","Qays Aylan","Sulaym b. Mansur",,,,,,2,,,,
"NQ202","الولید بن عدى الاصغر بن الخيار بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,6,"Woman of Banu Ri'l","Qays Aylan","Sulaym b. Mansur","Ri'l",,,,2,,,,,
"NQ344","عامر بن كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,6,"دجاجة بنت اسماء بن الصلط (بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم)","Qays Aylan","Sulaym",,,,,1,,,,,
"NQ149","عامر بن كريز بن ربيعة بن حبيب بن عبد شمس","Quraysh","Qusayy",,,,6,"دجاجة بنت اسماء بن الصلط بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم","Qays Aylan","Sulaym ",,,,,1,,,,,
"NQ202","عبد الرحمن بن عدي الاصغر بن الخيار بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,6,"Woman of Banu Ri'l","Qays Aylan","Sulaym b. Mansur","Ri'l",,,,2,,,,,
"NQ360","عاصم بن عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,7,"نعم بنت الوليد من بنو حارثة بن الاوقص","Qays Aylan","Sulaym","Haritha b. al-Awqas",,,,1,,,,,
"NQ253","شيبة بن عثمان بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,7,"ام عثمان/برة بنت سفيان بن سعيد بن قانف","Qays Aylan","Sulaym b. Mansur",,,,,3,1,,,,
"NQ212","حفص بن عمرو بن عبيد الله بن حميد بن زهير بن الحارث بن اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,8,"بنت عبد الله بن حازم بن اسماء بن الصلط","Qays Aylan","Sulaym ",,,,,,1,,,,
"NQ344","عمير الليثي","Kinana ","Layth",,,,,"دجاجة بنت اسماء بن الصلط (بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم)","Qays Aylan","Sulaym",,,,,1,,,,,
"NQ149","عمير الليثي","Kinana (Tab 15.34)","Layth",,,,,"دجاجة بنت اسماء بن الصلط بن حبيب بن حارثة بن هلال بن حرام بن سماك بن عوف بن امرئ القيس بن بهثة بن سليم","Qays Aylan","Sulaym ",,,,,1,,,,,
"NQ14","حبش بن عامر بن رفاعة بن الحارث بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,"عاتكة بنت مرة بن هلال بن فالج بن ذكوان بن ثعلبة بن بهثة بن سليم بن منصور (بن عكرمة بن خصافة بن قيس بن عيلان بن مضر EI2 Sulaym)","Qays Aylan","Sulaym",,,,,1,,,,,
