"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ92","المطلب بن عبد مناف بن قصى","Quraysh","Qusayy",,,,2,"ام الحارث بنت الحارث بن سليط بن يربوع بن حنظلة بن مالك بن زيد مناة بن تميم","Tamim   ",,,,,,3,,,,,
"NQ98","عبد شمس بن عبد مناف","Quraysh","Qusayy",,,,2,"عبلة بنت عبيد بن جاذل بن قيس بن حنظلة بن مالك بن زيد مناة بن تميم","Tamim",,,,,,3,1,,,,
"NQ198","نوفل بن عبد مناف","Quraysh","Qusayy",,,,2,"فكيهة بنت جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,,1,,,,,
"NQ387","امية بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,4,"سلمى بنت عوف من بنو تميم","Tamim",,,,,,1,,,,,
"NQ318","ابو ربیعة بن المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,4,"اسماء بنت مخربة بن جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,,2,,,,,
"NQ302","ابو ربیعة بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,4,"اسماء بنت مخربة بن جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,,2,,,,,
"NQ302","هشام بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,4,"اسماء بنت مخربة بن جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,,2,,,,,
"NQ318","هشام بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,4,"اسماء بنت مخربة بن جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,,2,,,,,
"NQ123","حرب بن امية","Quraysh","Qusayy","Umayyad",,,4,"Unnamed","Tamim",,,,,,1,1,,,,
"NQ254","عامر بن هاشم بن عبد مناف بن عبد الدار بن قصىّ","Quraysh","Qusayy",,,,4,"بنت النباش بن زرارة التميمى حليف بنو عبد الدار","Tamim",,,,,,2,,,,,
"NQ370","ابو الجهم بن حذيفة بن غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب","Quraysh","Adi b. Ka'b",,,,5,"خولة بنت القعقاع بن معبد بن زرارة","Tamim",,,,,,1,,,,,
"NQ281","ابو حميم بن حذيفة بن (غانم بن عامر بن عبد الله بن عبيد بن عويج بن عدي بن كعب)","Quraysh","Adi b. Ka'b",,,,5,"خولة بنت القعقاع بن (بن معبد) زرارة","Tamim",,,,,,1,,,,,
"NQ312","ابو جهل بن هشام بن المغيرة","Quraysh","Makhzum",,,,5,"بنت عمير بن معبد بن زرارة بن عدس (بْن زَيْد بْن عَبْدِ اللَّهِ بْن دارم)","Tamim",,,,,,2,,,,,
"NQ318","عبد الله بن ابو ربیعة بن المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,5,"ليلى بنت عطراد بن حاجب بن زرارة ( بن عُدُس بن زَيْد بن عبد الله بن دَارِم بن مَالِك بن حَنْظَلَة بن مالك ابن زَيْد مَنَاة بن تَمِيم)","Tamim",,,,,,1,,,,,
