"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ257","زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,0,"عقيلة بنت عبد العزى بن غيرة بن عوف بن قسى - وهو ثقيف - بن منبه بن بكر بن هوازن","Thaqif","Ahlaf","Ghiyarah",,,,1,,,,,
"NQ15","عبد مناف بن قصىّ","Quraysh","Qusayy",,,,1,"هند بنت كعب بن سعد بن عوف من ثقيف","Thaqif",,,,,,,1,,,,
"NQ265","الحارث بن زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,1,"لبنى بنت ابو سلمة بن عبد العزى بن غيرة بن عوف من ثقيف","Thaqif",,,,,,,,,,,
"NQ137","اسد بن عبد العزى (بن قصىّ)","Quraysh","Qusayy","Asad",,,2,"ريطة بنت الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم بن ثقيف","Thaqif",,,,,,1,,,,,
"NQ207","اسد بن عبد العزى بن قصىّ","Quraysh","Qusayy","Asad",,,2,"Woman of Thaqif","Thaqif",,,,,,1,,,,,
"NQ16","هاشم بن عبد مناف","Quraysh","Qusayy","Hashim",,,2,"ام عدىّ بنت حبيب بن الحارث بن مالك بن حطيط بن جشم بن قسىّ بن منبه بن بكر بن هوازن","Thaqif",,,,,,,1,,,,
"NQ387","خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,3,"خلدة بنت وهب بن اسيد بن عمرو بن علاج الثقفى","Thaqif",,,,,,5,,,,,
"NQ387","خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,3,"صفية بنت اسد بن عمرو بن علاج بن ابو سلمة الثقفى","Thaqif",,,,,,2,,,,,
"NQ94","الحارث بن المطلب","Quraysh","Qusayy",,,,3,"شحيلة بنت خزاعى بن الحويرث بن حبيب بن مالك بن الحارث بن حطيط بن جشم من ثقيف","Thaqif",,,,,,3,,,,,
"NQ151","عبد امية بن عبد شمس","Quraysh","Qusayy",,,,3,"Unnamed - زعموا من ثقيف","Thaqif",,,,,,1,,,,,
"NQ403","عامر بن حذيفة بن سعد بن سهم بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Sahm",,,,3,"بنت اسيد بن علاج (بن ابو سلمة من ثقيف)","Thaqif",,,,,,,,,,,
"NQ101","ابو العاصى بن امية الاكبر بن عبد شمس","Quraysh","Qusayy","Umayyad",,,4,"اروى بنت اسيد بن علاج بن ابو سلمة","Thaqif",,,,,,1,1,,,,
"NQ187","ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,4,"اروى بنت اسيد بن عمرو بن علاج بن ابو سلمة من ثقيف","Thaqif",,,,,,,,,,,
"NQ137","ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,4,"ريطة بنت الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم بن ثقيف","Thaqif",,,,,,3,3,,,,
"NQ123","حرب بن امية","Quraysh","Qusayy","Umayyad",,,4,"فاختة بنت عامر بن معتب الثقفى","Thaqif",,,,,,2,1,,,,
"NQ316","ابو امية بن المغيرة","Quraysh","Makhzum",,,,4,"Unnamed","Thaqif",,,,,,2,,,,,
"NQ332","حفص بن المغيرة بن عبد الله بن عمرو بن مخزوم","Quraysh","Makhzum",,,,4,"درة بنت خزاعى بن الحارث بن الحويرث الثقفى","Thaqif",,,,,,1,,,,,
"NQ151","الحارث بن امية الاصغر بن عبد شمس","Quraysh","Qusayy",,,,4,"Unnamed","Thaqif",,,,,,1,,,,,
"NQ254","عامر بن هاشم بن عبد مناف بن عبد الدار بن قصىّ","Quraysh","Qusayy",,,,4,"بنت صفوان بن عامر بن معتب","Thaqif",,,,,,1,,,,,
"NQ132","على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,5,"ام سعيد  بنت عروة بن مسعود بن معتب الثقفى","Thaqif",,,,,,,2,,,,
"NQ44","على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,5,"ام سعيد بنت عروة بن مسعود بن معتب","Thaqif",,,,,,,2,,,,
"NQ345","على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid",,5,"بنت عروة بن مسعود الثقفى","Thaqif",,,,,,,1,,,,
"NQ137","ابو وحرة بن ابو عمرو بن امية","Quraysh","Qusayy","Umayyad",,,5,"ريطة بنت نضلة بن قانف بن الحويرث بن الحارث بن حبيب الثقفى","Thaqif",,,,,,2,2,,,,
"NQ159","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,5,"ام النعمان بنت الحارث بن انس بن ابو عمرو بن عمرو بن وهب بن عمرو بن عامر بن سيار بن مالك بن حطيط بن جشم بن قسى/ثقيف بن منبه بن بكر بن هوازن","Thaqif",,,,,,3,3,,,,
"NQ160","الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Umayyad",,,5,"بنت منبه بن شبيل بن العجلان بن عتاب بن مالك بن كعب من ثقیف","Thaqif",,,,,,5,1,,,,
"NQ423","ابو ذئب بن شعبة بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,5,"ثريا بنت شريق بن  عمرو الثقفي","Thaqif",,,,,,2,,,,,
"NQ389","صفوان بن امية بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,5,"برزة بنت مسعود بن عمر بن عمير","Thaqif ",,,,,,1,,,,,
"NQ327","خالد بن الوليد بن المغيرة","Quraysh","Makhzum",,,,5,"ام تميم الثقفية","Thaqif",,,,,,1,,,,,
"NQ156","خالد بن الوليد بن المغيرة","Quraysh","Makhzum",,,,5,"ام تميم بنت الحازث بن جندب بن عوف بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن ثقيف","Thaqif",,,,,,1,,,,,
"NQ156","عبيد الله بن شيبة بن ربيعة","Quraysh","Qusayy",,,,5,"ام تميم بنت الحازث بن جندب بن عوف بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن ثقيف","Thaqif",,,,,,1,,,,,
"NQ327","عبيد الله بن شيبة بن ربيعة","Quraysh","Qusayy",,,,5,"ام تميم بنت الحازث بن جندب بن عوف بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن ثقيف","Thaqif",,,,,,1,,,,,
"NQ202","عدي الاصغر بن الخيار بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,5,"بنت سلمة بن غيلان بن سلمة بن مالك الثقفي","Thaqif",,,,,,1,,,,,
"NQ269","عبد الرحمن بن عوف بن عبد سهيل بن عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,5,"بادية بنت غيلان بن سلمة بن معتب الثقفى","Thaqif",,,,,,,1,,,,
"NQ57","الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Husaynid",6,"آمنة/ليلى بنت ابو مرة بن عروة بن مسعود بن معتب بن مالك بن معتب بن عمرو بن سعد بن عوف بن قسى","Thaqif",,,,,,1,,,,,
"NQ126","الحسين بن على بن ابو طالب","Quraysh","Qusayy","Hashim","Alid","Husaynid",6,"آمنة/ليلى بنت ابو مرة بن عروة بن مسعود بن معتب بن مالك بن معتب بن عمرو بن سعد بن عوف بن قسى","Thaqif",,,,,,1,,,,,
"NQ188","خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,6,"ريطة بنت عبد الله بن خزاعى بن اسيد بن الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم من ثقيف","Thaqif",,,,,,3,,,,,
"NQ132","عتبة بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,6,"ام سعيد  بنت عروة بن مسعود بن معتب الثقفى","Thaqif",,,,,,1,,,,,
"NQ134","محمد بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,6,"ام عثمان بنت اسيد بن الاخنس بن شريق","Thaqif",,,,,,1,,,,,
"NQ386","نافع بن عبد بن عمرو بن عبد الله بن نضلة بن عوف بن عبيد بن عويج بن عدى بن كعب","Quraysh","Adi b. Ka'b",,,,6,"Unnamed","Thaqif",,,,,,1,,,,,
"NQ390","عبد الله الاكبر بن صفوان بن امية بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,6,"حية بنت وهب بن امية بن ابو الصلت","Thaqif",,,,,,1,,,,,
"NQ201","عياض بن عدي الاكبر بن الخيار بن عدي بن نوفل بن عبد مناف","Quraysh","Qusayy",,,,6,"عصماء بنت عمرو بن امية بن علاج من ثقيف","Thaqif",,,,,,1,,,,,
"NQ44","عتبة بن ابو سفيان بن حرب بن امية","Quraysh","Qusayy","Umayyad","Sufyanid",,7,"ام سعيد بنت عروة بن مسعود بن معتب","Thaqif",,,,,,"Sons",,,,,
"NQ133","عمرو بن عتبة بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,7,"ام عبد الله بن زياد بن ابو سفيان","Thaqif/Quraysh (by adoption)",,,,,,1,,,,,
"NQ133","عمرو بن عتبة بن ابو سفيان","Quraysh","Qusayy","Umayyad","Sufyanid",,7,"ام معاوية بنت زياد بن ابو سفيان","Thaqif/Quraysh (by adoption)",,,,,,2,,,,,
"NQ361","عاصم بن عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,7,"ام عمارة بنت سفيان بن عبد الله بن ربيعة الثقفى","Thaqif",,,,,,,2,,,,
"NQ363","عبد الرحمن بن زيد بن الخطاب","Quraysh","Adi b. Ka'b",,,,7,"ام عمر بنت سفيان بن عبد الله بن ربيعة بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم بن قسى وهو ثقيف","Thaqif",,,,,,1,,,,,
"NQ113","عبد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,7,"صفية بنت ابو عبيد بن مسعود بن عمرو بن عمير بن عوف بن عقدة بن غيرة بن عوف بن قسى","Thaqif",,,,,,,1,,,,
"NQ356","عبد الله بن عمر بن الخطاب بن نفيل بن عبد العزى بن رياح بن عبد الله بن قرط بن رزاح بن عدى بن كعب بن لؤى بن غالب بن فهر","Quraysh","Adi b. Ka'b",,,,7,"صفية بنت ابو عبيد بن مسعود بن عمرو من ثقیف (بن عمير بن عوف بن عقدة بن غيرة بن عوف بن قسى)","Thaqif",,,,,,7,2,,,,
