"Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtrib3","HusbandSubtribe4","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtrib3","WifeSubtrib4","Generation wife","Sons","Daughters","H Lat","H Lng","W Lat","W Lng"
"NQ433","ابو سرح بن حبيب بن جذيمة بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,2,"Unnamed من الاشعريين","Yemen","Ash'ar",,,,,1,,,,,
"NQ422","ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,2,"خلالة بنت عبد العزى بن الحارث من الاشعريين","Yemen","Ash'ar",,,,,1,,,,,
"NQ433","سعد بن ابو سرح بن حبيب بن جذيمة بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,3,"مهانة بنت جابر من الاشعريين","Yemen","Ash'ar",,,,,6,,,,,
"NQ392","ابى بن خلف بن وهب بن حذافة بن جمح بن عمرو بن هصيص بن كعب بن لؤى بن غالب","Quraysh","Jumah",,,,4,"الاشعرية","Yemen","Ash'ar",,,,,,1,,,,
"NQ346","ابو بردة بن معبد بن حذافة بن معبد بن وهب بن عمرو بن عائذ بن عمران بن مخزوم","Quraysh","Makhzum",,,,8,"حفصة بنت ابو حرملة من الاشعريين","Yemen","Ash'ar",,,,,2,,,,,
"NQ255","عبد شرحبيل بن هاشم بن عبد مناف بن عبد الدار بن قصىّ","Quraysh","Qusayy",,,,4,"Unnamed - من الاشعريين","Yemen","Ash'ar",,,,,1,,,,,
"NQ287","اسحاق بن طلحة بن عبيد الله بن عثمان بن عمرو بن كعب بن سعد بن تيم","Quraysh","Taym b. Murra",,,,6,"ام اناس بنت ابو موسى الاشعرى","Yemen","Ash'ar",,,,,1,,,,,
"NQ306","عبد الرحمن بن الحارث بن هشام بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,6,"ام رسن بنت الحارث بن عبد الله بن الحصين ذى الغصة (بن يزيد بن شداد بن قنان بن سلمة بن وهب بن عبد الله بن ربيعة بن الحارث بن كعب)","Yemen","Harith b. Ka'b",,,,,2,,,,,
"NQ308","عبد الرحمن بن الحارث بن هشام بن المغيرة بن عبد الله بن عمر بن مخزوم بن يقظة بن مرة بن كعب بن لؤى بن غالب بن فهر","Quraysh","Makhzum",,,,6,"ام رسن بنت الحارث بن عبد الله بن الحصين ذى الغصة  الحارثى (بن يزيد بن شداد بن قنان بن سلمة بن وهب بن عبد الله بن ربيعة بن الحارث بن كعب)","Yemen","Harith b. Ka'b",,,,,,1,,,,
"NQ253","شيبة بن عثمان بن طلحة بن ابو طلحة بن عبد العزى بن عثمان بن عبد الدار بن قصى ","Quraysh","Qusayy",,,,7,"لبنى بنت شداد من بنو قيس بن الحارث بن كعب","Yemen","Harith b. Ka'b",,,,,1,,,,,
"NQ290","طلحة بن عمر بن عبيد الله بن معمر بن عثمان بن عمرو بن كعب","Quraysh","Taym b. Murra",,,,6,"عائشة بنت النضر بن على بن الحارث بن عبد الله بن الحصين ذى الغصة الحارثى (بن يزيد بن شداد بن قنان بن سلمة بن وهب بن عبد الله بن ربيعة بن الحارث بن كعب)","Yemen","Harith b. Ka'b",,,,,1,,,,,
"NQ272","سهيل بن عبد الرحمن بن عوف بن عبد  عوف بن عبد بن الحارث","Quraysh","Zuhra",,,,6,"ام عثمان بنت يزيد بن محصن من بنو الحارث بن كعب","Yemen","Harith b. Ka'b",,,,,1,,,,,
"NQ29","عبيد الله بن العباس بن عبد المطلب","Quraysh","Qusayy","Hashim","Abbasid",,5,"عاثية بنت عبد الله/عبد الحجر بن عبد المدان بن الديان من بنو الحارث بن كعب","Yemen","Madhhij","Harith b. Ka'b",,,,,1,,,,
"NQ31","عبيد الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"عائشة بنت عبد الله بن عبد المدان بن الديان","Yemen","Madhhij","Harith b. Ka'b",,,,1,1,,,,
"NQ28","فضل بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,5,"ام سلمة بنت محمية بن جزء الزبيدى","Yemen","Madhhij","Zubaidi",,,,,1,,,,
"NQ30","محمد بن على بن عبد الله بن العباس","Quraysh","Qusayy","Hashim","Abbasid",,7,"ريطة بنت عبيد الله بن عبد الله/عبد الحجر بن عبد المدان بن الديان بن قطن بن زياد بن الحارث بن مالك بن ربيعة بن كعب بن الحارث بن كعب بن عمرو بن علة بن جلد","Yemen","Madhhij","Harith b. Ka'b",,,,1,,,,,
"NQ179"," سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Umayyad",,,7,"العالية بنت سلمة بن يزيد بن مشجعة بن المجمع بن مالك بن كعب بن سعد بن عوف بن حريم بن جعفى بن سعد العشيرة","Yemen ","Madhhij",,,,,1,,,,,
"NQ192","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Umayyad",,,7,"مليكة بنت حصين بن عبد يغوث بن مروان","Yemen","Madhhij","Murad",,,,2,4,,,,
"NQ30","عبد الله بن عبد الملك بن مروان","Quraysh","Qusayy","Umayyad","Marwanid",,8,"ريطة بنت عبيد الله بن عبد الله/عبد الحجر بن عبد المدان بن الديان بن قطن بن زياد بن الحارث بن مالك بن ربيعة بن كعب بن الحارث بن كعب بن عمرو بن علة بن جلد","Yemen","Madhhij","Harith b. Ka'b",,,,,,,,,
"NQ411","عبد الله بن عمرو بن العاصى بن وائل بن هاشم بن سعيد بن سهم","Quraysh","Sahm",,,,6,"بنت محمية بن جزء الزبيدى","Yemen","Mudhhij","Zubaidi",,,,1,,,,,
"NQ421","زمعة بن قيس بن عبد شمس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى بن غالب","Quraysh","Amir b. Lu'ayy",,,,4,"Unnamed - امة كانت لزمعة وكانت يمانية","Yemen",,,,,,1,,,,,
"NQ394","معمر بن حبيب بن وهب بن حذافة بن جمح","Quraysh","Jumah",,,,4,"Unnamed امه من اهل اليمن","Yemen",,,,,,1,,,,,
"NQ333","امية بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,3,"Unnamed","Yemen",,,,,,1,,,,,
"NQ262","عبد يغوث بن وهب بن عبد مناف بن زهرة بن كلاب بن مرة بن كعب","Quraysh","Zuhra",,,,3,"هنيدة بنت مازن من اهل يمن","Yemen",,,,,,1,,,,,
