"Numbering","Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3","HusbandSubtribe4","nonQurayshAffilation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","nonQurayshGeneology","WifeGeneration","Sons","Daughters","Geography","Notes1","Notes2","Notes3","Notes4","H Lat","H Lng","W Lat","W Lng"
1,"NQ5","عدنان بن ادد",,,,,,,-16,"منهاد بنت لهم بن جليد بن طسم","Unknown",,,,,,,2,,,"Wife is presumably the Tasm of the pre-historic Arabs; genealogy unknown though","Two copulators of the Ka'ba from Jurhum",,,,,,
2,"NQ5","معدّ بن عدنان",,,,,,,-15,"معانة بنت جوشم بن جلهمة بن عامر بن عوف بن عدى بن دبّ بن جرهم","Jurhum",,,,,,,2,,,"Wife of a prehistoric tribe. Qahtan/Nizar split happens here",,,,,,,
3,"NQ5","مالك بن حمير","Himyar",,,,,,,"عكبرة","Saba",,,,,,,1,,,"This is an alternative account of Quda'a's origins",,,,,,,
4,"NQ6","نزار بن معدّ",,,,,,,-14,"خبيّة بنت عكّ بن عدنان",,,,,,,-14,2,,,"Cousin marriage",,,,,,,
5,"NQ6","نزار بن معدّ",,,,,,,-14,"حدالة بنت وعلان بن جوشم بن جلهمة بن عامر بن عوف بن عدىّ بن دبّ بن جرهم","Jurhum",,,,,,,2,,,"Maternal cousin marriage. ",,,,,,,
6,"NQ7","مضر بن نزار",,,,,,,-13,"الحنفاء بنت إياد بن معدّ",,,,,,,-13,2,,,"Cousin marriage",,,,,,,
7,"NQ7","إلياس بن مضر",,,,,,,-12,"خندف/ليلى بنت حلوان بن عمران بن الحاف بن قضاعة بن نزار","Quda'a ",,,,,,-10,3,,,"Check this",,,,,,,
8,"NQ8","مدركة/عامر بن إلياس",,,,,,,-11,"سلمى بنت اسد بن ربيعة بن نزار",,,,,,,-11,2,,,"Cousin marriage",,,,,,,
9,"NQ8","خزيمة بن مدركة",,,,,,,-10,"عوانة بنت قيس بن عيلان بن مضر","Qays Aylan",,,,,,-10,1,,,"Cousin marriage",,,,,,,
10,"NQ8","خزيمة بن مدركة",,,,,,,-10,"برّة بنت مرّ بن اُدّ بن طابخة بن إلياس بن مضر بن نزار",,,,,,,-8,3,,,"Cousin marriage",,,,,,,
11,"NQ10","كنانة بن خزيمة",,,,,,,-9,"برّة بنت مرّ بن اُدّ بن طابخة بن إلياس بن مضر بن نزار",,,,,,,-8,7,,,"Cousin marriage","She had previously been married to his father",,,,,,
12,"NQ10","كنانة بن خزيمة",,,,,,,-9,"هالة بنت سويد بن الغطريف/حارثة بن امرئ القيس بن ثعلبة بن مازن بن الازد بن الغوث بن النبت","Ghassanid",,,,,,,4,,,"Descendants of the wife became Aws; they link back to Qahtan from Nabt (see EI2 'al-Aws)","Although descendants of Azd, they are not considered Azd as they are from a different descent line (EI2 Azd). Relevant line is the Mazin b. Azd one, who are the ancestors of the Ghassanids (EI2 Mazin, Ghassan).",,,,,,
13,"NQ10","كنانة بن خزيمة",,,,,,,-9,"الذفراء/فكيهة بنت هنى بن بلىّ بن عمرو بن الحاف بن قضاعة","Bali",,,,,,,1,,,"Quda'a link based on him as a son of Ma'add; alternate genealogy given NMY 551",,,,,,,
14,"NQ10","عبد مناة بن كنانة","Kinana",,,,,,-8,"هند بنت بكر بن وائل بن قاسط بن هنب بن افصى بن دعمىّ بن جديلة بن اسد بن ربيعة بن نزار","Bakr b. Wa'il",,,,,,-4,3,,,"Generational mismatch",,,,,,,
