"Tribe","H Lat","H Lng","W Lat","W Lng"
"Abs",26048887,41033936,56018985,71004034
"Ahabish",20710904,40413208,60115512,79817816
"Akk",17601092,42482758,67364424,92246090
"Amir b. Sa'sa'a",21187236,42219687,63252138,84284589
"Anmar",26415485,43352051,60288617,77225183
"Ansar",24467071,39600456,54733841,69867226
"Asad b. Khuzayma",26853330,42093183,57333036,72572889
"Ash'ar",15465063,45327530,75189997,105052464
"Ashja'",25930383,40462646,54994909,69527172
"Aws",24467071,39600456,54733841,69867226
"Azd",19960947,41821820,63682693,85543566
"Bahra'",32351524,36717210,41082896,45448582
"Bajila",20466131,40822449,61178767,81535085
"Bakr b. Wa'il",29863849,47263619,64663389,82063159
"Bali",27699093,36370239,45041385,53712531
"Dabba",24122691,46785278,69447865,92110452
"Fazara",27753552,37628174,47502796,57377418
"Ghassan",30319780,35617676,40915572,46213468
"Hadramawt",17069387,49603271,82137155,114671039
"Hamdan",15809167,44752808,73696449,102640090
"Harith b. Khazraj",24467071,39600456,54733841,69867226
"Harith b. Ka'b",17746594,44195251,70643908,97092565
"Hawazin",22000101,41083374,60166647,79249920
"Himyar",13780235,44073415,74366595,104659775
"Hudhayl",21721731,40047528,58373325,76699122
"Kalb",29808676,39870844,49933012,59995180
"Khatham",19909289,43027708,66146127,89264546
"Khazraj",24467071,39600456,54733841,69867226
"Khuza'a",22991527,39536276,56081025,72625774
"Kilab",24072547,40171509,56270471,72369433
"Kinana",21156254,39576915,57997576,76418237
"Kinda",17238068,49335863,81433658,113531453
"Lakhmid",3153000,4427000,5701000,6975000
"Madhhij",14664374,45005493,75346612,105687731
"Mazin b. Mansur",27405942,38486696,49567450,60648204
"Muharib b. Khadafa",25930383,40396729,54863075,69329421
"Murra b. Awf",26373880,40147916,53921952,67695988
"Quda'a",30160327,35809937,41459547,47109157
"Quraysh",21422503,39826153,58229803,76633453
"Sulaym ",23114099,39812307,56510515,73208723
"Taghlib b. Wa'il",32299169,46092281,59885393,73678505
"Tamim",27718859,46737596,65756333,84775070
"Tayy",27446724,41867051,56287378,70707705
"Thaqif",21269163,40412779,59556395,78700011
"Udhra",28199863,36002197,43804531,51606865
"Yemen",15205400,44122300,73039200,101956100
