Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandSubtribe4,Source for non-Qurashi tribal affiliation,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,Source for non-Qurashi genealogy,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
1684,NQ317,____ __ ___ ____ __ _______,Quraysh,Makhzum,,,,,5,____ ___ ____ __ ______ __ ______ __ ___ _____,Quraysh,Abd al-Dar,,,,,5,2,,,,,
1810,NQ346,____ __ ____,Quraysh,,,,,,-1,______ ___ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,-1,2,,,,,
1814,NQ347,____ __ ____ __ ____ (__ ____ __ ____ __ ___),Quraysh,Amir b. Lu'ayy,,,,,1,____ ___ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,1,,,,,,
2317,NQ436,_____ __ ___ __ ___ __ ____ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,1,___ ___ ____ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,2,2,,,,,
1959,NQ369,___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,1,__ _____ ___ ____ __ ___ ____ __ ___ __ ____,Quraysh,Adi b. Ka'b,,,,,3,1,,,,,
2283,NQ430,____ __ _____ __ ____ __ ___ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,1,_____ ___ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,1,,,,,
1994,NQ379,___ __ ___ _____ __ ___,Quraysh,Qusayy,Asad,,,,2,___ ___ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,2,,1,,,,
2015,NQ382,____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,2,__ ____/____ ___ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,3,2,,,,,
1219,NQ206,___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,2,___ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,3,2,1,,,,
1350,NQ250,_____ __ ___ _____ __ ___,Quraysh,Qusayy,,,,,2,___ ___ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,,,,,,
2020,NQ383,_____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,3,__ ______ ___ ___ _____ __ ____ __ ___ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,4,2,1,,,,
1471,NQ275,____ __ ____ __ ___ __ ___ __ ___ __ ___,Quraysh,Taym b. Murra,,,,,3,____ ___ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,1,,,,,
1752,NQ337,____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,3,___ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,1,,,,,
1934,NQ367,___ _____ __ _____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,3,_____ ___ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,,1,,,,
2238,NQ422,_____ __ ___ ___ __ ___ __ __ ___ __ ____ __ ___ __ ____ __ ___ __ ____,Quraysh,Amir b. Lu'ayy,,,,,3,_____ ___ ____ __ ____ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,,2,,,,,
1948,NQ367,______ __ ____ __ ____ __ ___ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ____ __ ____ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,3,1,,,,,
631,NQ100,___ ______ __ ____ ______ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,4,____ ___ ___ _____ __ _____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,4,2,,,,
2021,NQ383,___ ___ __ ___ __ ____ (__ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,4,_____ ___ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,,1,,,,
1991,NQ379,___ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,___ ___ __ ____ __ _____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,3,,,,,
1997,NQ380,___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ___ __ ___ __ ____ __ ___ ____ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,5,1,,,,,
1990,NQ376,___ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,____ ___ ___ ____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,1,,,,,
1966,NQ370,___ ____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ___ ____ __ ____ __ ____ __ ___ ____ __ ___ __ ____ __ (___) __ ___,Quraysh,Adi b. Ka'b,,,,,5,,1,,,,
1965,NQ369,_____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ___ ____ __ ____ __ ____ __ ___ ____ __ ___ __ ____ __ (___) __ ___,Quraysh,Adi b. Ka'b,,,,,5,1,,,,,
1987,NQ374,_____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,4,_____ ___ ___ __ ____ __ ___ __ ____ (__ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,6,3,,,,,
2003,NQ381,____ __ ___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,5,_____ ___ _____ __ ____,Quraysh,Adi b. Ka'b,,,,,5,,1,,,,
1925,NQ365,______ __ ______,Quraysh,Qusayy,Zubayrid,,,,5,_____ ___ ___ __ ____ __ ____ ( __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,6,,,,,,
1456,NQ273,___ ____ __ ___ __ ___ ___ __ ___ __ ______,Quraysh,Zuhra,,,,,5,_____ ___ ____ __ ______ (__ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,6,1,,,,,
1985,NQ374,___ ____ __ _____ __ ____,Quraysh,Adi b. Ka'b,,,,,5,______ ___ ___ ____ __ ___ __ ___ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1845,NQ351,____ __ _____ __ ___ __ ___ __ ___ __ ___,Quraysh,Sahm,,,,,5,____ ___ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1832,NQ348,____ _____,Quraysh,Qusayy,Hashim,,,,5,____ ___ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1927,NQ366,____ __ ___ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,6,__ ____ ___ ______,Quraysh,Adi b. Ka'b,,,,,6,1,,,,,
565,NQ88,______ __ _____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,___ ____ ___ _____ __ ____ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,3,,,,,
2013,NQ382,_______ __ ___ __ ____ __ ___ _____ __ _____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,___ ___ ____ __ ___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,1,1,,,,
2027,NQ385,_____ __ ___ ____ __ _____ __ ___ ___ (__ ___ _____ __ ___ __ __ ___ __ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Amir b. Lu'ayy,,,,,6,____ ___ ____ __ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,1,,,,,
1982,NQ373,___ ____ __ ___ _____ __ _____ __ ____ __ ____ __ ___ ____ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,__ ____ ___ ____ __ ___ ___ __ _____,Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1834,NQ349,_______ __ ____ __ ___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,____ ___ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,7,,1,,,,
1941,NQ367,_____ __ ___ ____ __ _____ __ ___ ___ (__ ___ _____ __ ___ __ __ ___ __ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Amir b. Lu'ayy,,,,,6,____ ___ _____ __ _______ __ ___ __ ____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1478,NQ277,___ ____ __ ___ ___ ______ __ ___ _____ __ ____ __ ____ __ ___ __ ___ __ ___ __ ___,Quraysh,Taym b. Murra,,,,,6,_____ ___ ___ __ ____ __ ____ ( __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,7,,,,,,
1842,NQ349,___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,6,_____ ___ ___ __ ____ __ ____ ( __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,7,1,,,,,
1902,NQ361,_______ __ ____ __ ___ ____ __ ____ __ ___ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,____ ___ ____ __ ___ __ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,8,,,,,,
1333,NQ244,______ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,6,____ ___ ____ __ ___ __ ____ __ ____ (__ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___),Quraysh,Adi b. Ka'b,,,,,8,1,,,,,
696,NQ116,____ __ ______ __ ______,Quraysh,Asad,Zubayrid,,,,6,____ ___ ___ ____ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,8,,1,,,,
1457,NQ273,___ _____ __ ___ ____ __ ___ __ ___ ___ __ ___ __ ______,Quraysh,Zuhra,,,,,6,____ ___ ___ ____ __ ____ __ ______,Quraysh,Adi b. Ka'b,,,,,8,1,,,,,
2041,NQ385,___ ____ __ ____ __ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,__ ____ ___ ___ ____ __ ___ ______ __ ___ __ ______,Quraysh,Adi b. Ka'b,,,,,9,,1,,,,
1828,NQ347,____ __ ___ __ ____ __ ____,Quraysh,Adi b. Ka'b,,,,,7,_____ ___ ______ __ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Adi b. Ka'b,,,,,6,,,,,,
